,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,
Subject: International Investment Position (IIP),,,,,,,,,,,,,,,,,,,,,
"Topic: Singapore's Portfolio Investment Assets",,,,,,,,,,,,,,,,,,,,,
"Table Title: Singapore's Portfolio Investment Assets By Country/Region And Instrument, (End Of Period), Annual",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Data last updated: 27/07/2022,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Million Dollars
Data Series,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 
"Singapore's Portfolio Investment Assets - Total (Instrument)",2262471.1,2148370.9,2016630.4,1701102.4,1691134,1488863.6,1368941.2,1264242.9,1154112.1,981244.5,794263.8,758254.8,652963.4,531972.3,733236,579427.4,471215.9,421090.1,376738.4,247655.6,207840.1
  Asia,843688.8,885318.1,817523.2,675682.6,659747.1,549423.9,526993,510870.4,468295.3,417548.6,304190.9,291475.8,239404.3,203319.3,255453.5,183782,145689.6,109934.1,82110.3,59628.1,61486.1
    Mainland China,257659.3,278030,198549,149489.5,163221.5,123696.5,133380.8,120227,90402.8,70697,56940.8,51936.5,44599.5,37707.3,26050.4,15868.6,11724.2,5643.5,5383.5,2960,2971.2
    Hong Kong,62177.8,56634.7,53311.6,45065,47298.5,35754.4,37261.6,40452.1,46474.2,27769.3,18428.8,19134.7,15404.7,22383.3,31886.4,35955.7,27886.4,14285.4,11760.2,7631.9,8826.1
    India,103422.5,92308.4,85394.3,74485.3,76311.6,58111.4,71586.2,79373,54831.5,68205.8,42090.3,37898.4,36216.1,23296.3,31905.6,11191,5194.9,5194.5,2856.8,1230.7,1146.8
    Indonesia,38406.6,36642.6,40366.4,34795,34741.1,25552.1,21402,24045.4,20149.3,32341.6,20449.2,26960.9,14859.7,7643.4,16548.3,10904.9,8481.4,5150.9,3621.6,3926,1454.2
    Japan,153628,206496.7,na,na,na,na,na,na,na,na,na,na,na,-,-,-,-,-,-,-,-
    Republic Of Korea,102853,104729.4,79841.2,66119.4,62486.6,51508.9,50519,57311.3,51358.4,57430.1,52307.8,39653.2,43819.5,33559.4,40026,26829.3,22761,17766.4,14905.2,8898.6,6970.9
    Malaysia,27181.2,23632.1,23915.6,22281.6,23264.7,25917.5,24967.2,32718.7,43471.4,34529.4,21213.6,18851.4,14005.1,17293.6,29248.9,19185.1,21599,22680.5,14598.8,12807,12679.1
    Myanmar,na,na,na,449.2,369.1,621.2,443.7,92.8,na,na,na,na,na,na,na,na,3.7,3.8,8.7,8.7,10.1
    Philippines,7857.1,9779.1,na,9320.8,7821.1,9124.5,7734,9135.1,11539.2,7432.4,5912,4891.2,3404,2811.1,3501.1,2790.1,1739.8,1744.5,1897.5,2118.8,2547.4
    Taiwan,na,na,na,na,na,24629.1,21040.9,24574.8,22595.3,22552.3,16821.8,20720.1,12796.7,8183.6,9268,8544.1,7616.1,7383.3,5355.6,4014.8,2660.3
    Thailand,12470.1,12489.8,13299,15723.7,15692.1,12380.1,10654.2,10924.3,14609.4,14754.7,9479.2,10319.9,5689.9,5128,8040.5,7978.1,8363.8,6397.9,5985,3904.5,4469.7
    Vietnam,na,na,na,na,na,2326,1421.9,2230.1,723,466.2,417.2,422.1,831,1378,2046.3,421.7,102.9,19.9,11.2,38.6,46.3
  Europe,382478.7,377662.1,369943.1,314447.4,315183.3,277697.4,250540,245181.3,246115.2,195118.2,147468.8,196585,192183.7,150349.5,230955.9,201572.3,155910.9,150704.4,141422.8,98675.2,73980.3
    Germany,na,51528.9,na,na,42504.2,35967.4,33930.1,33084,34205.3,30881.5,na,na,na,17779.3,30752.3,25941.4,20068.3,14848.5,16338.2,17029.7,12007.4
    Ireland,na,na,na,15886.5,14362,10743.2,10202.8,8623.1,7833.6,2840.4,2197.7,3141.9,3789.4,4500.3,5317.8,4810.1,4005.7,3825.9,3757.6,3554.5,2825.2
    Luxembourg,46788,42647.5,36459.8,34844.1,35491.5,32443.2,29080.6,23272.1,26298.3,21104.2,7649.6,12418.1,5014.3,2706,6019.1,10122.7,6808.6,6061.3,7676.8,5652.3,2088.6
    United Kingdom,67470.1,65177.4,61153.1,51638.4,56405.4,53682.7,49363.9,56385,52262.5,53675.9,51590.7,72178.9,80748,73289,98434.1,78958.8,67262.9,60092.8,50253.2,36245.6,30512.3
  North America,730874.2,601828.6,564625.5,479070.8,488227.4,487199.7,444159.6,372698.9,319134.8,na,na,na,na,114919.2,158191.6,124666.1,118167.3,113952.1,113659.5,61450.6,45906.7
    Canada,30301.4,29899.7,24718.7,21315.9,27408.6,30557.9,22877.3,18701.1,15965.9,na,na,na,na,4660.7,7292.9,5810.1,5191.1,4383.1,5943.3,3947.4,3384.7
    United States,694049.7,566473.2,534950.7,454435.4,459660.8,456636.1,421282.3,353997.8,303168.9,243940.7,212631.6,171255.5,133520.7,110237.7,150300.2,118639.8,112622.9,108109.4,106957.2,57427.2,42522
  Oceania,61340.1,58191.2,45565.6,37321.9,41792.7,43279.5,32531.3,38137.4,39500.4,35680.8,35152.3,36485,40115.4,30019.9,47218.2,34544.1,29101.9,23697.3,20024,16589,13864.4
    Australia,58446.6,55601.5,42352.3,36155.7,40700.1,42130.1,31444.7,36839.3,38690.8,33672.8,32100.6,34988.9,38624.7,29058.5,46005.7,33201.7,28177.3,23031.2,18637.4,14077.4,11606.5
    New Zealand,2627.2,2549.5,3074.5,na,na,na,981,1179.1,702.1,na,2856.3,1228.8,1408.7,828,1148,1312.2,898.3,665.4,1383.3,2485.7,2231.8
  South And Central America And The Caribbean,138690.1,144147.5,137267.6,121788,113761.7,94887.4,77726.7,68228.2,60176,53485.7,61617.6,36748.9,27941.9,20754,29200,23399.2,16857,15684.6,12258.6,7350.9,9360.7
    Bermuda,na,na,na,9249.6,na,10707.7,11794.9,10416.4,10644.2,11516.1,7689.2,9099.7,9296.9,5746.7,10626.7,7584.6,5884.8,6495.6,5275.1,3234.7,3553.7
    British Virgin Islands,19332.6,23420.9,18607,21974.1,17702.1,11751.7,10086.7,6703,4194.5,2241.9,na,1490.6,1015,1010.8,1077.4,1050.6,1020.1,1063.6,993.4,538.6,406.4
    Cayman Islands,78097.8,83219.5,70899.1,62234.7,57761.2,41025.3,31013.6,20850.6,13750.1,10884.2,9574.6,10266.2,10200,9524.1,11344.4,11295.6,8253.5,6611.9,4999.6,2800.2,4158.3
