Data Series,2022 2Q ,2022 1Q ,2021 4Q ,2021 3Q ,2021 2Q ,2021 1Q ,2020 4Q ,2020 3Q ,2020 2Q ,2020 1Q ,2019 4Q ,2019 3Q ,2019 2Q ,2019 1Q ,2018 4Q ,2018 3Q ,2018 2Q ,2018 1Q ,2017 4Q ,2017 3Q ,2017 2Q ,2017 1Q ,2016 4Q ,2016 3Q ,2016 2Q ,2016 1Q ,2015 4Q ,2015 3Q ,2015 2Q ,2015 1Q ,2014 4Q ,2014 3Q ,2014 2Q ,2014 1Q ,2013 4Q ,2013 3Q ,2013 2Q ,2013 1Q ,2012 4Q ,2012 3Q ,2012 2Q ,2012 1Q ,2011 4Q ,2011 3Q ,2011 2Q ,2011 1Q ,2010 4Q ,2010 3Q ,2010 2Q ,2010 1Q ,2009 4Q ,2009 3Q ,2009 2Q ,2009 1Q ,2008 4Q ,2008 3Q ,2008 2Q ,2008 1Q ,2007 4Q ,2007 3Q ,2007 2Q ,2007 1Q ,2006 4Q ,2006 3Q ,2006 2Q ,2006 1Q ,2005 4Q ,2005 3Q ,2005 2Q ,2005 1Q ,2004 4Q ,2004 3Q ,2004 2Q ,2004 1Q ,2003 4Q ,2003 3Q ,2003 2Q ,2003 1Q ,2002 4Q ,2002 3Q ,2002 2Q ,2002 1Q ,2001 4Q ,2001 3Q ,2001 2Q ,2001 1Q ,2000 4Q ,2000 3Q ,2000 2Q ,2000 1Q ,1999 4Q ,1999 3Q ,1999 2Q ,1999 1Q ,1998 4Q ,1998 3Q ,1998 2Q ,1998 1Q ,1997 4Q ,1997 3Q ,1997 2Q ,1997 1Q ,1996 4Q ,1996 3Q ,1996 2Q ,1996 1Q ,1995 4Q ,1995 3Q ,1995 2Q ,1995 1Q ,1994 4Q ,1994 3Q ,1994 2Q ,1994 1Q ,1993 4Q ,1993 3Q ,1993 2Q ,1993 1Q ,1992 4Q ,1992 3Q ,1992 2Q ,1992 1Q ,1991 4Q ,1991 3Q ,1991 2Q ,1991 1Q ,1990 4Q ,1990 3Q ,1990 2Q ,1990 1Q 
  1 Year Maturity Or Less,111196.9,113810.4,101108.6,106893.8,96493.5,95893.2,95422.6,86398,99663,91925.1,90657.7,78690.3,39206.9,47067.1,46845.3,36648,43248,41148,41800,45648,36548,39411.2,36212,33512,41212,40648,38854,38554,37154,29654,32554,38554,38054,52094,68894,68494,76094,89754,83815.5,87120.5,85215.4,84715.5,84615.5,78715.5,82115.5,77015.5,80915.5,78315.5,76015.5,77480,73180,73280,64080,55480,57080,50880,61080,49900,59606.3,45414.9,52016.5,44519.8,46822.4,42668.2,41510.1,38906.7,34390.3,39176.5,34176.5,35900,36900,34790,34790,36840,34440,32150,33350,32874.4,31274.4,32074.4,32824.4,31786.8,22786.8,20236.8,22186.8,20010,20460,18709.8,20918.4,16538.4,19797,17600.7,14892.1,16117.9,15089.2,14285.6,13729.3,13488.1,12358.4,12228.4,10254.6,12138.2,10998.2,11253.8,11248.2,9400,9700,9234,10740,10610,9850,11040,8160,8300.1,9090,7347.8,8288.5,7908.5,7708.4,8700.6,6700,6950,6620,5140,4986.3,4999.5,3709.5,3894.1,3442.8,2996.5
  More Than 1 Year Maturity,861532.4,748609.7,661675,647581.7,633388.1,622209.4,595352,595208.8,572012.7,555669.8,537559.7,523121.2,515835.5,502772.9,484329,488669.5,469709.7,465076.8,445582.8,440001,431670.8,428876.6,411688.9,401652.9,385557.8,381796,366244.8,360816.4,354667.9,353897.4,338187.4,332856.9,323064,314883.5,303849.8,305149.6,298309.9,291581.6,281130.5,277786.8,269690,269028.4,254119.5,256000.4,247067.7,244260.8,230025.8,227014.6,221011.5,216547,208966.8,206478.4,201886.4,202152.8,188845.4,191506.8,181454.7,189029.2,167120.2,176487.8,165464.7,164723,157895.6,163979.7,161778.4,158581.1,158971.9,159209.2,155690.5,148016.5,143762.4,142678.9,134583.8,131427.2,129360.4,129483.8,123513,124066.4,121694.1,118614.7,113895.4,114701,120784.7,96394.4,91894.4,87831.2,83931.2,83231.2,81431.2,83111.2,78911.1,73461,77979.6,74799.7,74118.2,73271.8,73701.7,73057.6,67867.3,67517.3,63791.1,62295.7,62845.7,62548.1,63643.7,57101.9,55751.9,55651.9,55851.9,52051.9,51651.9,50301.8,53801.8,53601.9,52751.7,53871.9,53521.8,53571.8,53591.8,52349.7,53680.3,38980.3,38660.2,39860.2,39860.4,39910.3,39510.3,39110.3,39446.5,39712.7
External Debt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,2.3,4.8,4.7,7.3,7.3,9.7,11.6,15.7,17.8,22.3,24.3,30.8,34.6,37.9,40.8,48.3,50.4,61.1,68,75.8,106.7,130.6
  1 Year Maturity Or Less,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,2.3,4.8,4.7,0,0,0,1.7,3.4,5.2,6.8,3.7,0.3,0.7,0.7,0,3.1,3.2,6.5,9.7,3.4,32.3,41.6
  More Than 1 Year Maturity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,7.3,9.7,9.9,12.3,12.6,15.5,20.6,30.5,33.9,37.2,40.8,45.2,47.2,54.6,58.3,72.4,74.4,89
Debt Guarantees,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,208.6,211.8,255.6,255.7,251.9,257,258.2,315.2,317.3,306.6,364.4,364.1,350.4,343.7,424.1,541.2,1564.2,1637.1,1620.6,2100.6,510,650,660,660,660,660,780,790,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There are two key categories of domestic debt instruments.  The first category of domestic debt instruments are issued under the Government Securities (Debt Market and Investment) Act for non-spending purposes.  Borrowing proceeds raised under this Act are invested and cannot be spent.  The debt instruments under this Act are issued for specific purposes including: 1. Publicly held domestic debt instruments comprising (a) Singapore Government Securities (Market Development) and Treasury Bills, which are issued to develop Singapore's debt markets; (b) Cash Management Treasury Bills, which are issued on an ad-hoc basis as a contingency cash management tool to manage the Government's short-term cashflow mismatches; and (c) Singapore Savings Bonds, which are issued to provide individual investors with a long-term savings option. 2. Non-publicly held domestic debt instruments comprising Special Singapore Government Securities, which are primarily issued to meet the investment needs of the Central Provident Fund.  The second category of domestic debt instrument are issued under the Significant Infrastructure Government Loan Act for spending purposes.  Borrowing proceeds raised under this Act are used to finance spending on nationally significant infrastructure.  The debt instruments issued under this Act are Singapore Government Securities (Infrastructure).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
External Debt:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross external debt is defined as the outstanding amount of current (and not contingent) debt liabilities owed to non-residents by residents of an economy. The values reflected are as at a point in time. The external debt position can also be understood as a subset of the IIP, where it is equivalent to total external liabilities of the latter less equity and investment fund shares and financial derivatives. External debt statistics is used to monitor and analyse the external vulnerability of an economy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 29/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
