,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: National Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Per Capita GDP In Chained (2015) Dollars, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 17/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Series,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 ,1969 ,1968 ,1967 ,1966 ,1965 ,1964 ,1963 ,1962 ,1961 ,1960 
Per Capita GDP In Chained (2015) Dollars (Dollar),90979,81089,84330,84376,81779,78206,76503,75178,73276,71051,69722,67026,59573,61319,63488,60711,57465,54795,50470,47567,46191,47968,44761,42679,45143,43100,41767,40173,37312,34334,33178,31996,30290,28316,26103,23916,23577,23758,22254,20768,20261,19185,17645,16311,15318,14535,13713,13381,12821,11811,10618,9620,8575,7647,6853,6227,5794,5505,5829,5433,5193,4966
Per Capita GDP In Chained (2015) Dollars (US Dollar) (US Dollar),66176,58982,61340,61373,59484,56885,55647,54683,53299,51681,50714,48753,43332,44602,46180,44160,41799,39857,36711,34599,33598,34891,32558,31044,32836,31350,30380,29221,27140,24974,24133,23273,22032,20596,18987,17396,17149,17281,16187,15106,14737,13955,12835,11864,11142,10572,9975,9733,9326,8591,7723,6997,6237,5562,4985,4529,4214,4004,4240,3952,3777,3612
Per Capita Manufacturing In Chained (2015) Dollars (Dollar),20643,17493,16217,16646,15626,14166,13839,14761,14563,14558,14872,14085,11056,11888,13086,12877,11871,11098,9872,9444,8787,10212,9024,8047,8387,8315,8427,7894,7228,6760,6810,6645,6309,5917,5129,4433,4086,4413,4184,4123,4464,4286,3946,3511,3193,2961,2686,2781,2719,2384,2057,1769,1478,1223,1043,928,834,764,761,669,631,619
Per Capita Manufacturing In Chained (2015) Dollars (US Dollar) (US Dollar),15015,12724,11796,12108,11366,10304,10066,10737,10593,10589,10818,10245,8042,8647,9518,9366,8635,8072,7181,6869,6391,7428,6564,5853,6101,6048,6130,5742,5257,4917,4953,4833,4589,4304,3731,3224,2972,3210,3043,2999,3247,3118,2870,2554,2323,2154,1954,2023,1978,1734,1496,1287,1075,890,759,675,607,556,554,487,459,450
Year On Year Growth Rate Of Per Capita GDP In Chained (2015) Dollars (Per Cent),12.2,-3.8,-0.1,3.2,4.6,2.2,1.8,2.6,3.1,1.9,4,12.5,-2.8,-3.4,4.6,5.6,4.9,8.6,6.1,3,-3.7,7.2,4.9,-5.5,4.7,3.2,4,7.7,8.7,3.5,3.7,5.6,7,8.5,9.1,1.4,-0.8,6.8,7.2,2.5,5.6,8.7,8.2,6.5,5.4,6,2.5,4.4,8.6,11.2,10.4,12.2,12.1,11.6,10.1,7.5,5.2,-5.6,7.3,4.6,4.6,na
Year On Year Growth Rate Of Per Capita GDP In Chained (2015) Dollars (US Dollar) (Per Cent),12.2,-3.8,-0.1,3.2,4.6,2.2,1.8,2.6,3.1,1.9,4,12.5,-2.8,-3.4,4.6,5.6,4.9,8.6,6.1,3,-3.7,7.2,4.9,-5.5,4.7,3.2,4,7.7,8.7,3.5,3.7,5.6,7,8.5,9.1,1.4,-0.8,6.8,7.2,2.5,5.6,8.7,8.2,6.5,5.4,6,2.5,4.4,8.6,11.2,10.4,12.2,12.1,11.6,10.1,7.5,5.2,-5.6,7.3,4.6,4.6,na
Year On Year Growth Rate Of Per Capita Manufacturing In Chained (2015) Dollars (Per Cent),18,7.9,-2.6,6.5,10.3,2.4,-6.2,1.4,0,-2.1,5.6,27.4,-7,-9.2,1.6,8.5,7,12.4,4.5,7.5,-14,13.2,12.1,-4.1,0.9,-1.3,6.8,9.2,6.9,-0.7,2.5,5.3,6.6,15.4,15.7,8.5,-7.4,5.5,1.5,-7.6,4.2,8.6,12.4,10,7.8,10.2,-3.4,2.3,14.1,15.9,16.3,19.7,20.9,17.3,12.4,11.3,9.2,0.4,13.8,6,1.9,na
Year On Year Growth Rate Of Per Capita Manufacturing In Chained (2015) Dollars (US Dollar) (Per Cent),18,7.9,-2.6,6.5,10.3,2.4,-6.2,1.4,0,-2.1,5.6,27.4,-7,-9.2,1.6,8.5,7,12.4,4.5,7.5,-14,13.2,12.1,-4.1,0.9,-1.3,6.8,9.2,6.9,-0.7,2.5,5.3,6.6,15.4,15.7,8.5,-7.4,5.5,1.5,-7.6,4.1,8.6,12.4,9.9,7.8,10.2,-3.4,2.3,14.1,15.9,16.2,19.7,20.8,17.3,12.4,11.2,9.2,0.4,13.8,6.1,2,na
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
