,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: CPF Contributors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Active Central Provident Fund Members By Age Group (End Of Period), Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 01/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: CENTRAL PROVIDENT FUND BOARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thousand
Data Series,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 
Total Active CPF Members,2113.9,2042.3,2037.8,2014.4,1990.4,1974.3,1959.3,1951,1854.3,1788.8,1735.4,1700.4,1644.6,1610.1,1545,1461.9,1381.1,1324.4,1283,1283.7,1269.6,1272.9,1224.5,1198.2,1224.2,1193.9,1174.8,1138.9,1107.1,1074,1052.4,1021.7,988.6,963.8,935.3,912,889.6,943,917.9,927.5,917.9,863.6,832.9,779.4,713.6,677.8,647.4,622.5,609.3,535.7,415.7,372.5
  Up To 20 Years,38.9,34.3,42.7,43.5,43.2,45,49.7,56.8,49.3,45.7,42.5,43.9,38.9,40.5,44,38.9,34,31,27.2,28.9,27.9,35,31.6,26.5,35.5,33.1,35.9,37.3,40,39.6,42.2,42.8,41.4,40.2,43.5,44.4,47.6,69.1,72.1,81.1,92.5,97.8,102.5,99.8,90.4,89.6,85.3,84.1,97.4,83.2,67.8,56.5
  > 20 - 25 Years,97.7,95.7,102.9,107.4,112.2,115.7,120.1,129.4,122.1,122.4,118.6,115.5,109.7,110.3,108.2,107.1,104.4,103.1,100.6,103.4,103.9,111,108.7,110.4,123.1,129.8,136.1,137.1,136.5,135.7,137.8,143,148.5,159.3,168.7,177.3,181,202.2,203.3,212.7,219.1,209.1,204.2,192.4,175.8,169.1,160.9,147.1,152.4,133.7,102,86.6
  > 25 - 30 Years,225.5,221.6,228.4,228.1,232,228.4,221,217.6,208.2,199.8,202.2,209.3,211.7,207.8,200.9,193.2,189,184.4,184.2,191.7,196.9,199.9,199.4,198.2,200.5,198.7,202,201.6,204,205.4,207,206.9,207.8,208.8,206.1,203.8,198.1,203,197,197,189,173.5,165.6,154.6,142.2,135.1,127.6,109.6,100.1,81.9,52.6,44.4
  > 30 - 35 Years,260.6,246.8,239.5,233.4,223.9,226.9,233.5,235.7,233.9,232.2,229.4,231.1,227.5,222.8,220,217.6,210.1,205.1,199.7,197.7,195.2,197.5,196.2,199.2,206,207,207.1,203.5,199.7,196.8,194.3,190.4,184.2,178.3,168.9,159.8,149.8,149.5,142.4,139.1,133.1,123.9,110.2,94.9,81.3,69,61.8,61.5,63.9,58.9,47.2,43.4
  > 35 - 40 Years,239,238.5,237.8,238.6,237.9,235.8,237.5,236.6,232.4,233.2,234.3,232,229.3,222.4,213.3,203.1,195.5,190.9,190.4,193.4,195.5,197.3,192.4,190.7,194,191.2,187.9,181.8,175.5,168.3,161.1,151.6,142.9,135.3,126.6,119.6,113.2,104.9,91.8,83.4,71.3,63.5,65.5,64.9,61.9,61,57.8,53.6,51.2,45.5,36.7,35.2
  > 40 - 45 Years,238.9,234.4,231.6,231,233.4,237.2,236.7,237.4,228.7,220.9,214,210.6,208,209,206.7,201,193.1,187.2,182.9,183.3,183,182.3,174.6,169.6,168.9,160.4,152.4,144.4,137.5,130.7,125.6,117.9,103,89.3,77.6,65.2,59.4,63.5,63.9,64.1,63.7,59.4,57.3,52.7,48,46.5,45.2,41.6,41.1,38.7,32,31.8
  > 45 - 50 Years,235.6,229.3,228.8,225.4,220.1,216.4,215.4,217.2,214.6,212.6,210.4,206.9,201.8,198,191.6,183,174.1,166.9,160.6,156.9,151.6,145.9,136.5,131.3,130,123.5,115.6,101.3,89,79,68,60.6,60.5,59.8,57.5,56.5,54.3,54,50.5,48.2,47,44.7,42.8,41.4,39.2,38.1,37.5,34.7,33.4,30.1,25.7,24.8
  > 50 - 55 Years,209.6,203.7,204.3,207.4,208.8,211.2,210.6,209.9,201.1,194.4,188.1,182.7,174.2,168.1,157.3,144,131.4,122.9,116.5,113.7,109.9,104.8,91.5,81.2,74.5,63.2,57.2,57.6,56.9,55.3,55.2,51.7,48.2,44,40.3,39.2,38.8,38.4,37.6,37.3,36.3,34.8,33.8,31.7,28.9,27.6,26.7,25,24.4,22.6,20.1,19.9
