,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Prices and Price Indices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: International Trade Price Indices (EPI and IPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Export Price Index, By Commodity Section (1-Digit Level), Base Year 2018 = 100, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 28/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Index
Data Series,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 
Export Price Index - Overall Items,102.082,91.698,98.597,100,96.873,94.174,99.522,106.916,109.442,112.509,113.721,111.114,109.628,119.737,118.223,122.718,120.213,117.777,117.545,121.941,131.48,139.675,132.083,131.22,132.681,140.608,147.091,149.679,156.016,159.62,170.725,180.544,179.735,180.58,183.13,177.124,206.064,210.097,218.592,229.464,236.745,228.287,185.116,158.382
  Food & Live Animals,95.051,94.66,97.635,100,100.006,102.215,105.112,102.994,98.049,101.456,104.281,95.288,90.661,91.425,81.589,78.211,76.312,75.016,73.313,73.351,73.557,76.332,78.449,81.508,76.28,71.133,72.504,71.218,67.193,68.263,71.888,73.253,80.226,84.83,84.891,85.688,84.975,81.972,78.866,80.504,81.827,85.265,82.449,79.38
  Beverages & Tobacco,105.417,103.409,102.565,100,101.692,103.42,101.418,94.802,92.724,94.568,92.899,92.469,92.668,83.468,79.46,82.775,78.794,78.196,81.13,80.084,77.912,75.37,74.513,73.316,70.913,71.257,72.205,71.231,72.579,74.576,74.467,73.072,72.379,70.351,68.751,67.476,66.224,67.156,69.058,68.818,67.47,63.667,56.29,54.864
  Crude Materials (Excl Fuels),98.876,80.96,90.58,100,101.128,88.018,94.353,105.977,114.252,126.166,142.552,133.267,94.452,129.127,103.299,95.399,81.557,75.203,63.463,55.549,51.37,55.353,48.802,50.716,57.745,62.808,70.839,59.783,51.618,52.056,53.903,56.477,64.192,76.702,65.485,57.451,57.752,65.349,67.516,58.201,68.006,85.332,82.445,67.132
"  Mineral Fuels, Lubricants & Related Materials",98.335,63.742,92.403,100,81.367,64.734,79.919,125.746,134.252,141.953,138.784,108.249,89.776,136.046,104.033,96.733,83.112,61.915,51.024,44.304,44.244,48.991,31.092,24.722,31.656,32.969,28.262,28.737,33.282,35.381,40.381,45.677,38.134,34.159,40.741,37.333,63.032,64.328,69.421,78.821,81.503,74.237,47.811,34.908
  Animal & Vegetable Oils Fats & Waxes,119.446,101.904,97.106,100,102.805,97.728,97.751,104.402,107.652,115.536,123.84,110.808,108.828,117.262,93.99,80.96,83.191,90.344,84.139,75.525,64.929,66.683,79.225,99.382,83.248,84.493,92.083,83.328,77.856,79.023,76.966,74.265,77.703,86.205,76.023,73.145,105.673,130.689,102.12,102.926,118.274,132.124,140.519,133.766
  Chemicals & Chemical Products,100.273,91.057,94.821,100,97.711,96.843,102.155,105.096,104.384,104.741,105.68,105.134,103.72,109.646,108.507,107.845,106.963,100.036,92.701,91.154,91.943,93.135,83.114,81.699,82.167,80.487,86.876,84.718,85.868,89.423,97.966,99.631,105.907,113.249,100.102,95.548,96.677,99.993,97.227,98.364,96.837,95.888,76.168,69.725
  Manufactured Goods,110.501,97.918,98.672,100,98.15,95.587,99.114,102.23,101.73,102.937,108.212,104.967,101.602,110.424,106.794,99.327,93.692,88.973,81.817,81.397,83.665,84.548,83.738,86.334,85.293,84.838,86.348,85.449,86.881,88.406,91.429,94.48,99.618,97.214,89.22,84.24,88.471,91.76,94.811,99.165,102.956,102.359,93.717,84.672
  Machinery & Transport Equipment,104.387,100.569,101.817,100,101.987,104.15,107.36,102.811,104.29,106.1,108.534,115.389,120.459,120.264,130.497,142.675,147.483,158.249,168.43,183.748,204.929,219.954,223.941,227.874,225.034,246.17,266.031,279.02,292.765,297.575,316.53,333.733,345.682,346.613,360.402,366.188,372.551,360.979,373.504,370.4,363.129,330.718,319.456,313.337
  Miscellaneous Manufactured Articles,99.736,103.173,101.864,100,101.482,100.811,97.289,93.093,95.495,99.451,99.203,102.619,105.592,102.955,105.542,109.338,110.195,111.197,111.023,111.996,115.799,117.076,116.7,117.069,114.4,114.69,115.863,119.734,120.381,119.28,123.452,126.832,124.881,126.272,123.635,120.806,117.823,118.585,118.421,121.617,123.355,117.542,110.514,108.023
Non-Oil Export Price Index,103.006,98.591,100.124,100,100.908,101.834,104.624,102.015,102.987,104.848,107.092,111.122,113.673,115.146,120.874,128.139,129.889,134.574,138.347,146.755,159.559,168.757,168.993,171.698,169.5,179.981,192.128,195.586,200.229,203.303,214.815,223.893,234.812,242.642,236.158,231.867,237.679,242.161,245.155,241.073,248.214,251.192,237.663,219.778
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export Price Index:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Export Price Index (EPI) tracks changes in the monthly prices of exported goods. The EPI is also used as price deflators to estimate the volume of international trade and to compile constant price National Accounts estimates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 29/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
