Data Series,2022 1Q ,2021 4Q ,2021 3Q ,2021 2Q ,2021 1Q ,2020 4Q ,2020 3Q ,2020 2Q ,2020 1Q ,2019 4Q ,2019 3Q ,2019 2Q ,2019 1Q ,2018 4Q ,2018 3Q ,2018 2Q ,2018 1Q ,2017 4Q ,2017 3Q ,2017 2Q ,2017 1Q ,2016 4Q ,2016 3Q ,2016 2Q ,2016 1Q ,2015 4Q ,2015 3Q ,2015 2Q ,2015 1Q ,2014 4Q ,2014 3Q ,2014 2Q ,2014 1Q ,2013 4Q ,2013 3Q ,2013 2Q ,2013 1Q ,2012 4Q ,2012 3Q ,2012 2Q ,2012 1Q ,2011 4Q ,2011 3Q ,2011 2Q ,2011 1Q ,2010 4Q ,2010 3Q ,2010 2Q ,2010 1Q ,2009 4Q ,2009 3Q ,2009 2Q ,2009 1Q ,2008 4Q ,2008 3Q ,2008 2Q ,2008 1Q ,2007 4Q ,2007 3Q ,2007 2Q ,2007 1Q ,2006 4Q ,2006 3Q ,2006 2Q ,2006 1Q ,2005 4Q ,2005 3Q ,2005 2Q ,2005 1Q ,2004 4Q ,2004 3Q ,2004 2Q ,2004 1Q ,2003 4Q ,2003 3Q ,2003 2Q ,2003 1Q ,2002 4Q ,2002 3Q ,2002 2Q ,2002 1Q ,2001 4Q ,2001 3Q ,2001 2Q ,2001 1Q ,2000 4Q ,2000 3Q ,2000 2Q ,2000 1Q ,1999 4Q ,1999 3Q ,1999 2Q ,1999 1Q ,1998 4Q ,1998 3Q ,1998 2Q ,1998 1Q ,1997 4Q ,1997 3Q ,1997 2Q ,1997 1Q ,1996 4Q ,1996 3Q ,1996 2Q ,1996 1Q ,1995 4Q ,1995 3Q ,1995 2Q ,1995 1Q 
      Motor Vehicle,10800.3,10904.8,10803.7,10912.2,10859.1,10797.2,10735.6,10699.4,11234.1,11319.1,11351.4,11354.8,11216.3,11097.7,10961,10850.3,10515.7,10441.9,10123.7,9999,9777.2,9748.1,9662.7,9617,9613.9,9593.1,9616.1,9776.1,9914.3,10265,10695.3,11205.2,11814.5,12433,13084,13740.4,14123.1,14324.7,14374.4,14372.3,14331.2,14449.2,14526.4,14694,14813.7,15075.7,15225.2,15514.4,15840.9,15988.3,16183.9,16576.2,16891.1,17026.9,16879.5,16884,16582,16450.9,16322.8,16191,15995.2,15740.6,15732,15723.2,15605.2,15703.6,15769.4,15594.9,15280.6,15215.9,14837,14762.6,14444.4,14235.7,14402,14366.6,14286.5,14331.3,14248.3,14109.2,14140.4,14436.4,14215.9,13906.3,13640.4,13787.2,13506.6,12828.9,12384.2,11697.4,11335.2,11048.5,11010.6,11115.7,11104.9,11405.3,11471.8,11581.7,11623.6,11395.2,11103.8,10688.2,10380.2,10332.9,10070.3,9600,9374.7,9042.4,8817
      Credit/Charge Cards,10803.1,11205.5,10450,10062.7,10409.5,10918.1,10426.2,10008.9,11221.9,12626.2,12053.5,12071.3,11744.9,12289.5,11791.3,11635.9,11344.5,11624.9,11006.5,11176.7,10872.2,11439.7,10895.6,10814.7,10430.6,10873.7,10511.3,10320,10538.9,11046.3,10583.7,10440.4,10035.1,10537.5,9892.1,9770.5,9247.6,9503.6,8948.7,8654.6,8175.2,8358.1,7746.9,7540.7,7126.8,7307.9,6690.7,6455.1,6311.1,6538.8,6123.3,5870.3,5543.1,5832.4,5497.7,5262.5,4836.1,5022.7,4604.1,4563.2,4260.3,4433.2,4073.4,4021,3841.9,4029.1,3712.2,3686.2,3514.9,3755.2,3581.1,3549.2,3449.3,3788.3,3353.3,3318.6,3177.6,3416.6,3096.6,3034.7,2886.2,3025.1,2680.4,2669.1,2527.7,2688.2,2359.4,2298.6,2124.6,2245.1,1957,1963.8,1787.9,1861.4,1638.9,1710.9,1587,1814.4,1580.2,1554.1,1426.1,1581.4,1382.3,1439.6,1333.3,1443.3,1250.9,1241.9,1144.1
      Others,81301.6,81906.4,80590.4,76622.3,73792.9,70388.6,68773.8,66166.4,68319.8,72658.9,71852.7,72268.6,74046.7,74546.7,75605.1,76013.5,76717.7,75848.6,74717.5,72607.3,71161.2,70219.4,73262.5,71852.4,70693.7,71902.6,71871.9,72880.5,72607,71971.3,71615,69565.1,67629,65924.1,63123.8,61702.1,60266.3,58494.1,57089.3,54048.4,52453.4,49474.2,48397,45449.1,40184.5,38620.1,37212.6,35708.4,34932.5,34485.5,33456.1,33935.2,32633.9,32622.4,32936.9,31998,30609.1,30329.3,29045.2,27346.1,26888.8,26647.8,26533.4,26523.6,26633.4,26895.8,27537.3,27148.4,27232,27359.9,27488.2,28157.8,28337.6,28968.3,28741.2,28436.6,27915.1,25109,25326.2,25074.4,25181.5,25874.2,25833,25426.4,25442.4,24551.6,24166.1,23337.9,23232.9,22649.7,22875.7,22810.8,22849.1,23414.5,23379.8,23597.9,23594.3,24059.3,24451.2,23659.5,22686.1,21944.2,21428.7,21291.1,20422,19617.2,18572.6,17626.1,16812.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Net Worth -> Assets -> Financial Assets -> Central Provident Fund (CPF) (Million Dollars):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CPF refers to total amount due to members (net of withdrawals).  Prior to 2008, data includes contributions to NUS Academic Staff Provident Fund scheme.  The scheme was dissolved in end-2007.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Net Worth -> Liabilities -> Personal Loans -> Others (Million Dollars):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Examples of other personal loans include education loans, renovation loans, pawnshop loans, hire purchase loans (excluding those for motor vehicles), overdrafts and loans extended to individuals for investment and business purposes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Sector:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All household institutional units that have engaged in economic activities in Singapore for at least a year, including: Singapore citizens, Permanent residents, Foreigners, and Unincorporated enterprises (e.g., sole proprietorships).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 29/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
