,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: CPF Contributors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Active Central Provident Fund Members By Industry (End Of Period), Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 13/06/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: CENTRAL PROVIDENT FUND BOARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thousand
Data Series,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 
Total Active CPF Members,2113.9,2042.3,2037.8,2014.4,1990.4,1974.3,1959.3,1951,1854.3,1788.8,1735.4,1700.4,1644.6,1610.1,1545,1461.9,1381.1,1324.4,1283,1283.7,1269.6,1272.9,1224.5,1198.2,1224.2,1193.9,1174.8,1138.9,1107.1,1074,1052.4,1021.7,988.6,963.8,935.3,912,889.6,943,917.9,927.5,917.9,863.6,832.9,779.4,713.6,677.8,647.4,622.5,609.3,535.7,415.7
  Manufacturing,236.7,235.4,239,238.5,239.8,244.5,246.8,252.7,253.1,254.6,254.5,256.7,261.8,273.2,275.4,266.5,256.7,248.2,241.2,244.9,246.4,256.3,253.3,255.8,275.1,280.4,294.5,296.9,294.4,298,297.9,298.4,301.5,297.6,287.5,271.1,251.4,283,261,274.6,292.2,284.2,280.7,259.1,230.4,217,196.9,200,210.1,176.7,139.9
  Construction,106.9,102.2,102.7,103.8,105.6,111.8,113.2,113.3,110.2,105.4,102.1,100.4,93.1,88.5,84.1,77.7,71.8,69.7,71.1,70.7,74.4,79.1,79,78.7,81.3,76,66.3,58.6,53.9,48.5,42,40.1,38.7,41.3,44.2,51.6,54.2,58.6,47.9,43,37.6,29.3,27.5,26.7,25.4,26.6,26.9,25.5,26.1,20.3,16.6
  Wholesale & Retail Trade,294,288.8,293.5,295.8,295.8,293,298.1,305,286,273.9,264.9,258.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Transport & Storage,131.2,130.7,133.2,131.6,129,126.1,124.3,123.4,119.1,114.7,110.8,109.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Accommodation & Food Service Activities,141.8,137.4,141.8,137.2,134.5,133,129.3,125.9,116.9,108.9,101.1,98.8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Information & Communications,106.4,93.5,89.5,85.2,82.1,78.5,75,74,69.2,66.5,65.1,63.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Financial & Insurance Activities,179,172.8,169.5,167.5,162.7,160.3,159.5,156.3,147.6,142.7,139.6,133.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Real Estate Activities,48.1,47.7,48.1,48.2,48.3,48.8,49.7,53.9,46.8,45.8,45.1,45.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"  Professional, Scientific & Technical Activities",190.9,179.6,178.2,169.1,164.9,163.7,162.4,159.6,146,137,130.2,126.8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Administrative & Support Service Activities,195.8,188.6,188.8,188.3,185.3,179.7,177.8,173.5,166.1,160.5,157.6,152.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Other Service Activities,464.1,448.4,436.8,431.8,424.9,417.6,407.2,397.2,377.2,363.4,349.5,340.1,326.8,305.7,291.4,278.5,267,267.1,261.8,257.2,248.9,240,233.2,224.7,218.4,209,201,195.5,191.1,186.2,192.6,186.4,184.2,184.5,185.5,183.9,179.8,176.7,174.3,175.3,170.3,165.8,162.5,157,151.9,145.6,144,138.5,130.6,126.5,88.7
  Others,19,17.2,16.6,17.5,17.5,17.3,16,16.3,16.2,15.5,15,14.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data prior to 1998, 1999-2000, 2001-2004 and from 2005 to 2009 are classified according to Singapore Standard Industrial Classification (SSIC) 1990, 1996, 2000 and 2005 respectively.  Data from 2010 are classified according to SSIC 2010.  Data from 2016 are classified according to the SSIC 2015.  Refers to persons who have at least one contribution paid for them for the current or any of the preceding three months.  From 1992, data exclude self-employed persons who are not employees concurrently.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Active CPF Members -> Others (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Includes Agriculture, Fishing, Quarrying, Utilities, Sewage & Waste Management and Activities Not Adequately Defined.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 29/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
