,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,
Subject: International Investment Position (IIP),,,,,,,,,,,,,,,,,,,,,
"Topic: Singapore's International Investment Position (IIP)",,,,,,,,,,,,,,,,,,,,,
"Table Title: Singapore International Investment Position, (End Of Period), Annual",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Data last updated: 31/03/2022,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Million Dollars
Data Series,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 
Net International Investment Position,1375768.7,1281664.6,1138934.1,934406.7,1123054.9,1030046.8,914909.5,781174.7,767047.1,716030.6,692534.3,659570.6,623431.1,490239.7,602935.2,600684.8,488450.7,413965.2,382398.2,226156.5,146633.5
  External Assets,6653629.7,6243439.9,5725747.4,5178798.6,5075111.2,4653650.8,4354513.3,4042111.6,3706455.6,3363523,3192466,3001760.1,2710528.4,2650694.6,2781389.7,2314157.4,2027493.4,1756785.4,1587898.1,1367845,1288144.3
    Direct Investment,1819922.7,1673389.5,1542881.2,1341655.2,1388562.8,1199423.3,1046666.9,899906.6,787907.2,701038.3,653291.5,600906.1,535861,458760.9,500215.8,415830.7,319041.3,281026.2,242402,201405.7,167424.3
      Equity And Investment Fund Shares,1306495.1,1182414.8,1098806.3,963526.4,970610.4,874030.8,752986.1,659619.8,554805.8,497846.5,447355.5,426040.5,361632.4,300805.3,332215.5,265057.1,219728,194649.4,171769.5,137293.5,120050.7
      Debt Instruments,513427.6,490974.7,444074.9,378128.8,417952.4,325392.5,293680.8,240286.8,233101.4,203191.8,205936,174865.6,174228.6,157955.6,168000.3,150773.6,99313.3,86376.8,70632.5,64112.2,47373.6
    Portfolio Investment,2262471.1,2148370.9,2016630.4,1701102.4,1691134,1488863.6,1368941.2,1264242.9,1154112.1,981244.5,794263.8,758254.8,652963.4,531972.3,733236,579427.4,471215.9,421090.1,376738.4,247655.6,207840.1
      Equity And Investment Fund Shares,1308028.6,1156466.6,1059457.9,863511,877721.9,752008.4,692311,636568.8,592231.9,521340.3,399312.5,381178.3,292762.1,258699.4,372834,273140.4,214149.8,174656.2,150359.6,77674.2,62224.6
      Debt Securities,954442.5,991904.3,957172.5,837591.4,813412.1,736855.2,676630.2,627674.1,561880.2,459904.2,394951.3,377076.5,360201.3,273272.9,360402,306287,257066.1,246433.9,226378.8,169981.4,145615.5
    Financial Derivatives,137850.2,165192.9,143500.3,118951.7,91015.1,125247.3,134603.2,147167.9,110404.2,113431.8,184796.1,138316.7,120288.8,175995.5,105247.2,86603.8,66205.2,0,0,0,0
