,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: National Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Gross Domestic Product At Current Prices, By Industry (SSIC 2020), Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 17/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
      Retail Trade,6875.1,6201.9,7567.8,7956.3,7780.7,7653.3,7278.4,6895.2,6608.4,6531.9,6331.2,5651.8,5416.6,5346.1,5197.4,4847.2,4585.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Transportation & Storage,30709.6,26766.8,31246.5,30827.5,31605,27748.8,30015,27092.4,24756.7,23702.9,22159.2,25271,21455.1,25177,24637.9,20842.7,20698.4,19236.8,16035.1,14135.5,14233.2,15464.5,13995.3,12878.4,13167.8,12452.3,11964.8,10928.1,9734.5,8741.7,8738.7,7611.5,6967.4,6082.9,5181.3,4687.6,4642.4,4458.7,4182.6,3662.5,3382.8,2958.6,2420.3,2187.8,1778,1516.8,1261.6,1130.6,945.1,773.3,630.2,529.5,459,399.2,342,310.3,294.2,269.7,286.7,280.4,272.8,256.3
    Accommodation & Food Services,6714.5,6649.7,10006.9,9812.3,9342.6,9189.6,8763.1,8666.6,8208.3,7847.6,7227.9,6065.9,4970.7,5355,4869.7,4303.2,3980.7,3857.7,3474.1,3694.8,3836.2,3805.7,3591,3485,3720.6,3441.8,3239.8,2989.7,2823.2,2631.8,2446.8,2371.4,2101.3,1719.8,1471.2,1367.2,1388.7,1410.5,1399.4,1348.1,1181.9,998.9,790.2,668.1,572.8,508.7,463.1,415.6,358.2,276.7,230.2,191.8,169.4,151.5,132.7,114.9,105.2,100.8,97.1,91.1,86.5,81.5
      Accommodation,2393.5,2505.2,4298.4,4233.4,3892.1,3764.2,3604.7,3640.3,3470.1,3494.6,3333.3,2592.4,1910.5,2421.2,2155.1,1760.3,1500.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Food & Beverage Services,4321,4144.5,5708.5,5578.9,5450.5,5425.4,5158.4,5026.3,4738.2,4353,3894.6,3473.5,3060.2,2933.8,2714.6,2542.9,2480.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Information & Communications,28355.2,24648.8,22797.2,19908.5,18768.8,17517.6,16227.4,16196.1,15137.3,14011.6,12792.4,11557.1,10699,9765.6,9281.2,8573.9,8132.6,7588.4,7086.9,6627.3,6864.4,5845.3,5395.4,4760.9,4649.7,4146.2,3860.4,3333.4,2980.8,2533.4,2207.2,1883.3,1600.1,1349.8,1113.9,980.2,964,952.4,860.3,812.8,755.8,632.3,523.1,463.8,365.2,303.8,274,213,173.8,144.8,120.1,104.4,94.1,87.2,73.7,64.6,59.3,57.4,56.5,54.4,51.3,50.3
    Finance & Insurance,73747,69718.6,68071.6,62714.7,56973.6,51860.3,49872.2,45966.4,42888.3,37722.1,35298.4,33987.9,31589.8,30190,29568.6,23508.5,19680.3,18539.1,16886.9,16690.6,16507.6,15598.8,15376.7,16983.7,17863,14155.4,13029.8,12590.6,11609.8,10024.7,8860.6,9190.9,7142.4,6201.5,5844.2,4838.4,5069.5,4549.2,3953.1,3660,3146.3,2293.9,1612.3,1354.5,1131.8,1089.2,987.7,792.7,626.4,449.2,356.8,298.3,265.7,211.6,165.5,148.9,130.3,118.3,107.7,97.9,86.5,71.9
"    Real Estate, Professional Services And Administrative & Support Services",62181,58879.1,67881.9,69839.3,66736,65650.2,62666.4,57533,55306,50982.6,47535.9,41994.8,35617.1,35547.8,30506.2,24372.9,22014.8,19793.1,18222.3,18101.3,17309.1,17530.4,16028.4,15950.7,16871.6,15458.2,13523.2,11627,9352.9,8372,7343.6,6557,5502.6,4323.9,3468.1,3335.2,3398.7,3613.5,3477.3,3169.5,2503,1800.7,1452.3,1285.9,1222.5,1168.4,1118.9,1096.8,884,742.4,618.3,508.7,432.6,372.8,331.6,281.1,261.3,230.1,216.5,199.8,162.3,146.4
      Real Estate,14731.3,13423.3,16841.1,16350.1,15701.5,17421.6,18781.5,18962.7,19243.2,17078,16127.2,14034.8,11027.5,11362.8,9360.7,7105.4,6728.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Professional Services,29375.3,27262,29091.8,27020.7,25909,24920.6,24218.6,22104.8,21671.4,20982.3,19672.5,18280.7,16662,16329.7,14479.1,11876.7,10516.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Administrative & Support Services,18074.4,18193.8,21949,26468.5,25125.5,23308,19666.3,16465.5,14391.4,12922.3,11736.2,9679.3,7927.6,7855.3,6666.4,5390.8,4770,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Other Services Industries,52675.7,48795,54233.4,52530.7,50376.1,47522.3,44974.4,42665,40300.2,37567.1,35896.8,32433.5,26966.1,25945.8,24185.3,22543,20818.3,20162.5,18949.1,18804.2,17447.9,15745.3,13718.5,13509.9,13383.6,12280.4,10927.2,10242.1,8779.5,7947.2,7325.6,6553.3,5893.7,5095.4,4567.2,4318.2,4307.6,3924.1,3510,3072.7,2422.4,2095.9,1862.7,1680.7,1544.8,1483.3,1399.3,1246.5,994.5,860.8,778.5,683.1,616.6,577.2,530.5,505.2,464.8,437.7,424,383.1,359.1,330.8
  Ownership Of Dwellings,18940,18785.2,18453,17751,17436.2,17589.4,18100.1,17797.2,17251,15749.3,13604.9,11347.1,10351.7,10166.2,7943.3,7012.2,6317.8,5763.6,5981.2,5708.9,6020.5,5758.1,5715.3,6216.1,5912.9,5386.1,4768.9,4178.5,3385.2,2905.6,2618.3,2421.2,2245.9,1931.2,1742.1,1417.6,1346.7,1155.6,844.1,600.2,628.2,481.1,459.2,420.9,391.9,362.1,337.4,324.3,291,250.6,199.7,156.6,123.3,106.1,96.4,90.8,84.1,80.9,78.8,76.3,73.6,68.9
  Gross Value Added At Basic Prices,503406.1,454233.5,486276.4,481917.1,445041.9,413884.6,399187.4,377198.8,362699.5,347618.2,331400.8,309047,268452.9,259709.6,257177.8,226287.4,203226.8,184738.8,160990.5,157071.3,151322,154394.5,137515.6,136188.6,139496.7,127336.5,116068.8,105025.7,92359.4,80628.5,75153.8,67224.7,58126.7,51049.2,43738.6,39446.3,39324.4,40169.9,36651.6,32791.2,29259.1,24909.7,20325,17647.3,15746.7,14467.3,13240.9,12363.4,9926.6,7910.8,6595.6,5557.2,4816.2,4146.4,3599,3167.4,2817.3,2602.7,2681.7,2404.2,2221.9,2040.4
  Add: Taxes On Products,29945.8,22171.3,25943.5,26578,28873.8,26582.4,24256.7,21749.1,22170.8,21152.3,19967.1,17933.1,13941.6,14232,15519.8,9871.4,9496.2,9694.2,9127.4,8626.8,9563.6,11237.9,8736.9,7286.3,9167.7,8440.7,8394.5,7529.7,5563.7,4291.7,3389,3267.6,3181.8,2383.1,1810.9,1446.4,1538.4,1560.5,1406.4,1190,1092.9,959.9,816.2,690.1,606.5,536.1,487.8,468,469,391.5,334.3,322.1,265.1,218,190.9,189,166.3,134.5,127.3,125.1,118.8,117
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data may not add up to the total due to rounding. For more information on national accounts methodologies, please visit Singstat website (www.singstat.gov.sg/find-data/search-by-theme/economy/national-accounts/publications-and-methodology) to view and download related publications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDP At Current Market Prices -> Goods Producing Industries -> Other Goods Industries (Million Dollars):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other goods industries comprise agriculture, fishing and quarrying.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Domestic Product:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aggregate value of the goods and services produced in the economic territory of Singapore. The GDP estimates are compiled based on the output (or production), expenditure and income approaches. See Output-based GDP, Expenditure-based GDP and Income-based GDP.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Prices:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The actual price agreed upon by the parties in the transactions. In the absence of market transactions, valuation is made according to costs incurred or by reference to market prices for similar goods or services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value Added:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross value added is derived by the output or income approach. 
The output approach measures value added as output less intermediate consumption.  Output refers to the value of goods and services produced  while intermediate consumption is value of goods and services consumed as inputs by a process of production, e.g. materials, utilities, fuel, rental paid for premises and equipment, banking and financial charges and other operating costs.
The income approach derives value added as the sum of incomes generated from the domestic production of goods and services, which comprise gross operating surplus, remuneration and taxes (less subsidies) on production. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 29/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
