    Financial & Insurance Services,2800,3800,2000,1700,500,1000,100,500,-700,2600,1200,1500,1600,2000,1100,2500,1700,2200,-600,2100,1500,1600,2800,1200,600,1100,500,1900,700,300,1500,3500,2900,700,1300,2100,1700,700,1400,2200,1200,1100,1500,2800,1400,1400,2100,3600,3100,-2200,1700,1400,-400,-1200,300,3400,4600,3200,2700,9700,4400,5100,2600,3300,3300,2100,1800,1700,2100,2100,2000,1200,1800,1200,900,-100,700,800,0,-300,-100,-1600,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"    Real Estate, Professional Services And Administrative & Support Services",na,1500,4600,3900,-1200,2600,-2500,-4700,-14100,-800,3400,7400,2600,5200,3700,1900,1800,3200,4800,2000,2400,2000,2200,2600,800,-2000,3600,3400,4300,300,7500,7600,12000,7300,6200,5000,6400,6200,3600,4400,7000,6300,3500,4100,7100,8300,3600,6100,7200,8800,6000,2100,3700,3100,1400,8600,12900,13200,9900,10000,11700,10000,7000,8500,8500,10100,4700,7200,7100,1300,7300,3400,3800,800,2300,100,700,900,300,900,1100,-800,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Real Estate Services,900,100,400,-600,-1000,-300,-500,-1900,-2700,-1500,0,900,200,100,0,0,0,0,900,500,0,300,300,-100,-200,-5100,700,-300,-800,-5000,200,2600,4500,0,300,-400,100,-1400,200,900,1300,1600,1700,500,400,1000,1700,100,-500,1100,200,1000,600,900,800,1200,1700,2600,1500,1900,3300,1600,1200,500,1300,1300,900,1100,300,0,1500,800,-1000,-1600,300,-1200,-100,200,1200,-400,-300,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Professional Services,4600,2700,2000,2500,1900,1100,-100,200,-3800,2500,1400,3800,2200,2900,1000,3400,1400,1200,800,1800,-100,500,-1100,1100,600,-1100,-600,3600,0,-300,2400,4000,3300,3300,2600,4600,3800,3800,2000,3500,2500,2200,1400,3300,2300,2600,2600,3900,4100,900,2300,1200,800,300,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Administrative & Support Services,-2000,-1100,2200,2000,-2100,1800,-1900,-3000,-7700,-1800,2000,2800,300,2100,2800,-1500,400,2000,3100,-400,2500,1300,3100,1600,500,4200,3600,100,5100,5600,4900,900,4200,3900,3300,900,2500,3800,1400,0,3200,2400,500,300,4400,4700,-700,2000,3600,6800,3500,100,2300,1900,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Other Services Industries,8200,9800,9400,-6400,-1400,9600,8400,400,-27300,100,3000,8800,1500,8500,3200,5100,2100,7400,4100,3700,2000,7800,3800,3100,5400,8700,6400,6200,6300,8100,9500,6800,5500,11100,7700,4200,5000,7100,7400,1500,3000,8200,8300,4900,2100,8400,8200,1700,7800,16400,10700,6000,6300,10600,5100,9200,7100,14800,6700,7400,7200,10900,4600,6100,4700,8300,4400,4000,4300,4900,5500,2000,100,5200,2200,1300,-1800,5500,1700,1500,2300,6900,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Employment change refers to the change in the number of persons who are in employment, derived by taking the difference in the employment level at the end of the reference period compared with the end of the preceding period.  A positive change refers to the additional number of persons who are in employment, while a negative change refers to the decline in number of persons in employment.  Data may not add up to the total due to rounding.  The industries are classified based on SSIC 2015 from 2009 onwards and SSIC 2005 from 2002 to 2008.  Data for 2009 and 2010 are revised at the industry level to reflect updates in pre-approved Letter of Consent (PLOC) numbers.  Data for the earlier years will be revised progressively when the data are available.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Changes In Employment -> Goods Producing Industries (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Under Goods Producing Industries, 'Others' comprise Agriculture, Fishing, Quarrying, Utilities, Sewerage and Waste Management.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 29/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
