,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: National Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Total Demand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Changes In Total Demand In Chained (2015) Dollars, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 17/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Per Cent
Data Series,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 ,1969 ,1968 ,1967 ,1966 ,1965 ,1964 ,1963 ,1962 ,1961 
Total Demand,7.3,-3,0.7,5.6,7,1.6,3.5,3.1,5.7,2.9,6.5,16,-6.1,7.1,8.4,10.2,10.2,18.1,7.1,5.3,-3.9,16,8.5,-6.2,10.6,9.5,17.1,13.3,16,7.2,7.5,12.5,9.9,20.8,12.1,6.9,-3.4,8.3,6.6,6.6,9.5,17.8,18.4,10.8,9.3,9.3,-1.7,13.1,14.7,7.6,12.4,13.2,16,24.7,7,13.1,9,-12,12.7,5.9,0.4
  Total Domestic Demand,8.8,-9.7,1.9,1,6.1,5.5,-0.1,1.9,4.6,7.2,3.3,11.6,-3,12.8,7.8,7.9,3,14.4,-7.8,1,-4.4,19.5,9.4,-9.8,11.4,9.7,9.2,4,14.2,7.2,5.3,11.2,10,5.3,8.9,-2.2,-3.6,7.8,8.5,9.9,6.2,10.5,10.6,9.6,2.5,5.9,-0.6,11.5,7.7,9.7,14.3,23.1,14.2,14.3,10.6,8,7.5,-4.5,11,7.4,9.1
    Final Domestic Demand,9.3,-9.4,2.7,0.6,4,2.3,4.4,3.4,5.1,5.1,4.3,6,2.5,6.8,9.1,6.4,3.9,6.2,-0.8,-0.8,2.6,13.2,3.1,-2.3,7.9,14.6,7.8,7.5,11.3,7.9,9,9.2,10.7,7.2,5.4,-3.2,-3.3,7.6,8.5,12.1,9.4,11.5,8.2,9.1,4.3,5.2,1.9,7.5,7.4,11.4,16,18.7,14.2,14.9,9.9,7,6,-0.5,8.1,6.1,13.6
      Consumption Expenditure,4.5,-7,3.2,3.7,3.2,3.3,5.9,3,4.5,3.1,3.1,5.5,0.8,4.7,6.1,5,4.1,4.4,1.2,3.7,7.5,14.5,9.1,-0.2,5.9,8.2,4.9,6,12.4,5.3,6.5,8,7.9,8,8.3,3.2,3.9,5.8,6.4,5.5,4.9,6.4,5.5,7.3,5.8,5.2,3.2,5.9,7.7,9.8,12.6,13.9,10.2,10.9,9,7.9,4.5,-4.2,5.8,4.4,10.6
        Public,4.5,13.3,3.4,3,3.4,3.7,8.9,0.6,11.7,0.9,-0.2,10.2,4.9,6.3,2.4,7.3,4,1,0.9,4.6,5.1,18.3,6.6,7.7,6.5,16.3,10.5,-0.5,15.5,2.6,8.2,10.8,6.1,-6,1.2,0.9,20.2,5.4,9.6,13.3,5.4,10.4,-0.2,11.2,8.8,4.8,2.8,0.3,5.6,13.4,17,21.6,23.2,16.9,8.7,13.7,9.4,1.9,16.3,9.4,22.6
        Private,4.5,-12.9,3.2,4,3.2,3.2,5.2,3.6,2.8,3.7,4,4.4,-0.3,4.3,7,4.4,4.1,5.3,1.3,3.4,8.1,13.6,9.7,-1.9,5.7,6.6,3.9,7.3,11.8,5.9,6.1,7.4,8.3,11.4,10.2,3.9,-0.1,5.8,5.7,4,4.9,5.7,6.6,6.6,5.2,5.3,3.2,6.9,8.1,9.1,11.8,12.6,8.3,10,9.1,7.1,3.9,-4.9,4.7,3.9,9.6
      Gross Fixed Capital Formation,19.6,-14.2,1.7,-5.1,5.3,0.6,2,4.2,6.2,8.6,6.4,6.8,5.5,10.8,15.5,9.4,3.6,10.3,-5.2,-9.2,-5.2,11.4,-4.5,-5,10.6,24.1,12.3,9.9,9.8,12,13.3,11.3,15.8,5.7,0.6,-12.3,-11.7,9.8,11,21,16.1,20.7,13.4,12.9,1.4,5.2,-0.4,10.8,6.8,14.8,24.4,33.2,29,32.7,14,3.1,12.7,21.3,23.5,19.3,44.1
        Public,18.8,-25,1.2,-4.5,-0.5,12.3,10.8,11.1,0.7,7.5,8.3,15.7,24.5,16.6,-2.6,-12.3,-5.9,-10.2,-1.4,-12.6,6.4,1,4.7,8.6,22.5,8,2.3,21.7,7.9,2.7,24.6,12.1,-12.6,-27.4,-11.4,4.7,-5,8.7,28.1,40.3,12.8,21,-14.9,1.4,7.6,25,28.2,18.9,-11.6,50.1,4.1,16.2,2.7,31.5,-6.9,12.9,2,21.3,34.9,24.2,46
        Private,19.7,-11.6,1.8,-5.2,6.8,-2.1,0.1,2.9,7.3,8.9,6,4.9,2.3,9.9,18.6,14.3,6,16.6,-6.2,-8.1,-8.2,14.7,-7.2,-8.3,8,28,15,7,10.3,14.6,10.5,11.1,25,24.8,9.5,-21.8,-15,10.3,4.1,14.8,17.2,20.6,26.4,18.9,-1.6,-2.5,-8.7,8.7,12.3,7.6,29.3,38,39,33.1,24.6,-1.2,18.2,21.3,18.5,17.3,43.2
    Changes In Inventories,-0.2,-0.4,-0.5,0.3,1.6,2.3,-3.4,-1.1,-0.3,1.6,-0.6,4.2,-4.3,4,-1,0.9,-0.7,5.6,-5.8,1.6,-6.1,5,4.8,-6.4,2.8,-4,1.2,-3,2.5,-0.6,-3,2,-0.2,-1.5,3.4,0.9,-0.3,0.2,0,-1.9,-2.8,-0.3,2.7,0.7,-1.8,0.9,-2.8,4.7,0.6,-1.6,-1,5.1,0.2,-0.3,1,1.3,1.7,-4.5,3.4,1.4,-4.6
  External Demand,6.8,-0.2,0.3,7.6,7.4,0,5,3.6,6.1,1.4,7.7,17.8,-7.2,5.3,8.5,11,12.8,19.4,13.9,7.4,-3.6,14.3,8,-4.4,10.2,9.3,21.1,18.5,17,7.2,8.6,13.1,9.9,29.7,14.1,12.9,-3.3,8.6,5.6,4.9,11.2,22,23.4,11.5,14.2,12,-2.6,14.6,22.2,5.6,10.5,5.3,17.5,34.5,3.9,17.7,10.4,-17.9,14,4.7,-5.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information on national accounts methodologies, please visit Singstat website (www.singstat.gov.sg/find-data/search-by-theme/economy/national-accounts/publications-and-methodology) to view and download related publications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Demand -> Total Domestic Demand -> Changes In Inventories (Per Cent):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For inventories, this refers instead to change as a percentage of GDP in the previous year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Refer to consumption expenditure incurred by households. Household consumption expenditure is the value of consumer goods and services acquired, used or paid for by a household for the satisfaction of the needs and wants of its members. Non-consumption expenditure such as loan repayments, income taxes, purchase of houses is excluded. The consumption expenditure on owner-occupied accommodation is estimated using the rental equivalence method, which measures the shelter cost in terms of the expected rental the owner would have to pay if he were a tenant of the premises. It is estimated based on the Annual Assessed Values (AAVs) provided by the Inland Revenue Authority of Singapore (IRAS). The imputed rental of owner-occupied accommodation is included when analysing the detailed share of household expenditure by goods and services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
External Demand:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The sum of changes in inventories and exports of goods and services.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Domestic Demand:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The sum of private consumption expenditure of households including non-profit institutions serving households, government consumption expenditure and gross fixed capital formation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Fixed Capital Formation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acquisitions, less disposals, of fixed assets during the accounting period plus improvements to land.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventories:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The amount of materials and supplies, work-in-progress, finished goods and goods for resale.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Demand:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The sum of total domestic demand and external demand. Contribution to total demand of a segment is derived by taking total demand as the base.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Domestic Demand:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The sum of private consumption expenditure of households including non-profit institutions serving households, government consumption expenditure and gross capital formation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 29/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
