Data Series,2022 1Q ,2021 4Q ,2021 3Q ,2021 2Q ,2021 1Q ,2020 4Q ,2020 3Q ,2020 2Q ,2020 1Q ,2019 4Q ,2019 3Q ,2019 2Q ,2019 1Q ,2018 4Q ,2018 3Q ,2018 2Q ,2018 1Q ,2017 4Q ,2017 3Q ,2017 2Q ,2017 1Q ,2016 4Q ,2016 3Q ,2016 2Q ,2016 1Q ,2015 4Q ,2015 3Q ,2015 2Q ,2015 1Q ,2014 4Q ,2014 3Q ,2014 2Q ,2014 1Q ,2013 4Q ,2013 3Q ,2013 2Q ,2013 1Q ,2012 4Q ,2012 3Q ,2012 2Q ,2012 1Q ,2011 4Q ,2011 3Q ,2011 2Q ,2011 1Q ,2010 4Q ,2010 3Q ,2010 2Q ,2010 1Q ,2009 4Q ,2009 3Q ,2009 2Q ,2009 1Q ,2008 4Q ,2008 3Q ,2008 2Q ,2008 1Q ,2007 4Q ,2007 3Q ,2007 2Q ,2007 1Q ,2006 4Q ,2006 3Q ,2006 2Q ,2006 1Q ,2005 4Q ,2005 3Q ,2005 2Q ,2005 1Q ,2004 4Q ,2004 3Q ,2004 2Q ,2004 1Q ,2003 4Q ,2003 3Q ,2003 2Q 
Gross External Debt,2441891.5,2390923.1,2326407,2265002.1,2268249.7,2266976.4,2245667.9,2299282.5,2432739.8,2172999.8,2190583.6,2158525.6,2100978.5,2091743.4,2086525.2,2148980.5,2077970.6,2008918.2,1979679.7,1947463.9,1943035.6,1937439.9,1870789.3,1856504.6,1840974.2,1817155.6,1864880.8,1792234.1,1846688.6,1779546.3,1748558.1,1726152.8,1687233.4,1678111.3,1612479.3,1589994.2,1554561.4,1524667.9,1504075.9,1503888.9,1476893.3,1490737.6,1528617.8,1416976.2,1409657.8,1363557,1359018.1,1332826.3,1308273.6,1264936.7,1269995.3,1304543.3,1324864.6,1359984.9,1430293.3,1377357.2,1427394.3,1329810.6,1245657.1,1175038.7,1109120.4,1065423.1,1058533.9,1045928.1,991356.2,1021682.9,998052.9,978116.4,958062.2,942763.7,924066.1,921129.1,913613.7,858357,856265.3,854184
      Short-Term,311471.9,293804.2,287504.9,276023,269171.9,251391,250738.3,248798.2,260119.6,241595.7,254323.4,260115.4,245984.7,246535.7,263877.1,280057.2,264625.4,241698.9,258003.6,267206.6,249604,245258.1,231985.3,220414.2,209550.6,234003.8,218487.6,216998.2,218151.4,216139.2,226494.3,219966.5,210565,219659.1,218880.3,208054.3,204241.8,205298.1,196180.3,193859.8,196779.5,191068.4,198458.7,197569.9,196372.1,184502.9,180606.1,166103.3,157387.1,149916,138441.1,132212.7,130125.2,130020.3,130442.3,135286.5,140998.5,135799,130169,122415.8,112696.1,106432.8,105904.8,107491.8,107278.1,104434.1,101905.2,101105.7,99476,97375.6,94564.4,92405.1,88019.7,86338.2,83921.8,78772.1
        Trade Credits And Advances,150881.6,139107.2,136676.2,134124.6,130171,127223.4,132982.7,127767.4,136681.8,133121.7,153124.5,156177.1,136633.4,144306.7,169147.2,181464.6,174312.1,147442.1,162939.4,167521,147707.8,140744.7,136786.4,128502.8,120805.7,143898.2,141626.3,141568.1,142889.9,143958.2,149096.2,143827.2,141533.7,151598.2,153980.7,147829.8,147001.5,150352.1,144253.4,145275.3,149777.3,145918.9,149411.4,151327.5,151089.2,143400.7,142479.1,131484,119583,111225.9,105225.9,100396.4,97034.3,95436.6,96439,100877.2,105111.3,105501.7,102116.5,95023.9,87590.9,83184.4,81256.1,81257.6,82015.3,82355.6,82859.4,84107.7,84950.2,84236.8,82085.9,78616.2,74503.5,70423.8,66085.8,61198.3
        Loans,137080.3,136482,135462.7,129563,128613.3,114850.8,109488.2,112952,114866.9,101843.6,94502.6,96986.4,101943.1,96760.1,89785.9,93816.5,85844.6,90117.1,91046.3,95929.2,98224.7,101521.9,92710.1,89439.8,86465,87503.1,73896.5,72260.2,71984.7,69273.6,74344.7,72848.1,66070.8,65067.7,62020.9,57324.9,54538.7,52692.8,49888.6,46772,45029.2,43040.3,46498.6,42830,40946.6,36989,34679.2,31985.5,35857,37298.7,31938.9,30566.3,31910,33541.6,32906.8,33206,34512.6,28799.8,26548.6,25895.2,23628,21801.7,23265.8,24957.6,24101.5,21024.9,18042.6,16037.1,13595.7,12222,11637.6,12884.8,12479.8,14757.1,16181.9,15843.9
        Debt Securities,12703.3,7359.3,4049.5,1799.3,1484,2004.7,1717.6,2126.4,3036.1,2131.1,2208.8,2145.3,1875.9,1409.4,1117.3,1272.4,1279.3,1226.6,1166.1,947.8,905,680.1,377.8,569.3,590.6,760.7,1094.4,1235.5,1274.1,864.8,1014.7,1260.8,957.7,1052.6,1048.5,1222,1182.3,846.7,708.5,514,704.4,902.2,1365.2,2072.8,2822.4,3296.5,2014.1,1421.1,980.8,582.9,565.6,592.4,558.9,437.7,514.9,640.4,812.8,941.1,937,904.3,863.5,835.3,796.7,737.7,675.9,610.7,599.2,599.4,603.1,601.6,590.6,630.5,692.2,748.1,819.3,912.4
        Others,10806.7,10855.7,11316.5,10536.1,8903.6,7312.1,6549.8,5952.4,5534.8,4499.3,4487.5,4806.6,5532.3,4059.5,3826.7,3503.7,3189.4,2913.1,2851.8,2808.6,2766.5,2311.4,2111,1902.3,1689.3,1841.8,1870.4,1934.4,2002.7,2042.6,2038.7,2030.4,2002.8,1940.6,1830.2,1677.6,1519.3,1406.5,1329.8,1298.5,1268.6,1207,1183.5,1339.6,1513.9,816.7,1433.7,1212.7,966.3,808.5,710.7,657.6,622,604.4,581.6,562.9,561.8,556.4,566.9,592.4,613.7,611.4,586.2,538.9,485.4,442.9,404,361.5,327,315.2,250.3,273.6,344.2,409.2,834.8,817.5
      Long-Term,205665.6,196494.7,189190,181881.4,178834.7,173415.7,167841.3,169571.7,173730.5,165954,155833,153846,152728.1,145241.4,137503.1,136802.3,128057.5,126640.2,124906.3,123702.3,120430.1,118588.3,110372.4,105603.8,100247.8,89780.1,87039,88372.9,90257,90113.5,94189.7,91229.7,86854,85462,84962.7,83845.2,81235.7,77664.1,76685.2,76334,74714,72791.3,65711.3,59732.4,52910.7,47076.5,43034.1,39430.2,41302.3,40177.4,37295.6,36626.9,36647.6,36671.2,36982.7,37253.3,36551.7,34066.3,32041,31423,30151.9,28723.5,30903.7,31334,29094.6,30507.8,29005.1,28091.2,26810.3,25942.9,24719.3,24817.7,24734.3,26260,28541.6,28925.2
        Loans,65306.9,64680,64188.2,61607.5,61989.5,53054.7,51039.2,52779.8,53854.3,47883.2,44870.2,46342.1,48780.3,47167,44176.9,45610.5,41981.5,43676.5,43229.7,44429.5,44515.6,44876.8,41418,40572.6,39920.4,40052.9,37803.1,40539.2,43845.7,46227.1,48383.9,47760.2,44945,44713.6,43677,42127.9,41383.7,40820.9,40414.9,40092.4,39906.1,38491.8,38097.7,31589.4,25559.3,21125.2,18846.9,17732.3,19869.5,20513.3,17950.6,17279.3,17785.5,18579,18047.9,18042.3,18464.2,15903.6,14628.3,14192.7,13079.9,12030.4,12770.8,13786.3,13657.3,12294.2,10741,9230.2,7769.1,7615.1,7326.2,7694,7469.4,8751.1,10077.5,10617.9
        Debt Securities,107607.1,101246.6,94008.2,88973.9,85977.7,89868.7,87113.5,86568.2,88936.2,89460.6,84043.3,81868.4,79302,74394.4,70801.5,69872,68750.8,66655.2,65066.1,62334.9,58469.5,56463.2,51871,48274.3,43712.5,33541.2,32588.5,32481.8,31185.1,29495.1,30565.6,28612.6,27610,26645.9,27121,26288.4,25113.6,21823.6,21082.5,20043.3,18263.6,16663.3,15401,15974.2,15451.6,15856.1,15304.6,13522.1,13954.6,13494.3,13705.3,13605.7,13434.8,12992.4,13399.5,13873,13462.2,13892.6,13275.7,13142.7,13102.9,12783.7,14265.7,13675.5,11605.3,14400.7,14603.4,15121.5,15287,14803.2,14135.6,13920.3,14213.7,14481.9,15417.7,15304.4
        Others,32751.6,30568.1,30993.6,31300,30867.5,30492.3,29688.6,30223.7,30940,28610.2,26919.5,25635.5,24645.8,23680,22524.7,21319.8,17325.2,16308.5,16610.5,16937.9,17445,17248.3,17083.4,16756.9,16614.9,16186,16647.4,15351.9,15226.2,14391.3,15240.2,14856.9,14299,14102.5,14164.7,15428.9,14738.4,15019.6,15187.8,16198.3,16544.3,17636.2,12212.6,12168.8,11899.8,10095.2,8882.6,8175.8,7478.2,6169.8,5639.7,5741.9,5427.3,5099.8,5535.3,5338,4625.3,4270.1,4137,4087.6,3969.1,3909.4,3867.2,3872.2,3832,3812.9,3660.7,3739.5,3754.2,3524.6,3257.5,3203.4,3051.2,3027,3046.4,3002.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"With the implementation of the recommendations of the 6th Edition of the Balance of Payments and International Investment Manual (BPM6), Singapore's gross external debt is now reported on a BPM6 format.  The accompanying revision in the treatment of Asian Currency Units (ACUs) as resident units (which previously were treated as non?resident units) means that the coverage of Singapore's external assets and liabilities has been expanded to include those of the ACUs, resulting in increases in both Singapore's external assets and liabilities.  While the expansion of coverage has resulted in higher gross external debt (or liabilities), it has resulted also in higher external assets.  Singapore remains a net creditor, as the resulting increase in external assets is more than the increase in liabilities.  More information may be found in the Occasional Paper on """"Implementation of IMF Balance of Payments and International Investment Position Manual, Sixth Edition in Singapore's Balance of Payments"""".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross External Debt -> Direct Investment: Intercompany Loans -> Debt Liabilities Of DIE To Direct Investors (Million Dollars):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refers to direct investment enterprise.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross External Debt -> Direct Investment: Intercompany Loans -> Debt Liabilities Of Direct Investors To DIE (Million Dollars):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refers to direct investment enterprise.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross External Debt -> Other Liabilities -> Deposit-Taking Corporations -> Short-Term -> Currency And Deposits (Million Dollars):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data are not released due to relatively insignificant value and/or in order to safeguard confidentiality of information provided by individual establishments.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
External Debt:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross external debt is defined as the outstanding amount of current (and not contingent) debt liabilities owed to non-residents by residents of an economy. The values reflected are as at a point in time. The external debt position can also be understood as a subset of the IIP, where it is equivalent to total external liabilities of the latter less equity and investment fund shares and financial derivatives. External debt statistics is used to monitor and analyse the external vulnerability of an economy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 29/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
