,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: National Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Personal Disposable Income and Personal Saving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Personal Disposable Income At Current Prices, Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 25/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Series,2022 2Q ,2022 1Q ,2021 4Q ,2021 3Q ,2021 2Q ,2021 1Q ,2020 4Q ,2020 3Q ,2020 2Q ,2020 1Q ,2019 4Q ,2019 3Q ,2019 2Q ,2019 1Q ,2018 4Q ,2018 3Q ,2018 2Q ,2018 1Q ,2017 4Q ,2017 3Q ,2017 2Q ,2017 1Q ,2016 4Q ,2016 3Q ,2016 2Q ,2016 1Q ,2015 4Q ,2015 3Q ,2015 2Q ,2015 1Q ,2014 4Q ,2014 3Q ,2014 2Q ,2014 1Q ,2013 4Q ,2013 3Q ,2013 2Q ,2013 1Q ,2012 4Q ,2012 3Q ,2012 2Q ,2012 1Q ,2011 4Q ,2011 3Q ,2011 2Q ,2011 1Q ,2010 4Q ,2010 3Q ,2010 2Q ,2010 1Q ,2009 4Q ,2009 3Q ,2009 2Q ,2009 1Q ,2008 4Q ,2008 3Q ,2008 2Q ,2008 1Q ,2007 4Q ,2007 3Q ,2007 2Q ,2007 1Q ,2006 4Q ,2006 3Q ,2006 2Q ,2006 1Q ,2005 4Q ,2005 3Q ,2005 2Q ,2005 1Q ,2004 4Q ,2004 3Q ,2004 2Q ,2004 1Q ,2003 4Q ,2003 3Q ,2003 2Q ,2003 1Q ,2002 4Q ,2002 3Q ,2002 2Q ,2002 1Q ,2001 4Q ,2001 3Q ,2001 2Q ,2001 1Q ,2000 4Q ,2000 3Q ,2000 2Q ,2000 1Q ,1999 4Q ,1999 3Q ,1999 2Q ,1999 1Q ,1998 4Q ,1998 3Q ,1998 2Q ,1998 1Q ,1997 4Q ,1997 3Q ,1997 2Q ,1997 1Q ,1996 4Q ,1996 3Q ,1996 2Q ,1996 1Q ,1995 4Q ,1995 3Q ,1995 2Q ,1995 1Q ,1994 4Q ,1994 3Q ,1994 2Q ,1994 1Q ,1993 4Q ,1993 3Q ,1993 2Q ,1993 1Q ,1992 4Q ,1992 3Q ,1992 2Q ,1992 1Q ,1991 4Q ,1991 3Q ,1991 2Q ,1991 1Q ,1990 4Q ,1990 3Q ,1990 2Q ,1990 1Q ,1989 4Q ,1989 3Q ,1989 2Q ,1989 1Q ,1988 4Q ,1988 3Q ,1988 2Q ,1988 1Q ,1987 4Q ,1987 3Q ,1987 2Q ,1987 1Q ,1986 4Q ,1986 3Q ,1986 2Q ,1986 1Q ,1985 4Q ,1985 3Q ,1985 2Q ,1985 1Q ,1984 4Q ,1984 3Q ,1984 2Q ,1984 1Q ,1983 4Q ,1983 3Q ,1983 2Q ,1983 1Q ,1982 4Q ,1982 3Q ,1982 2Q ,1982 1Q ,1981 4Q ,1981 3Q ,1981 2Q ,1981 1Q ,1980 4Q ,1980 3Q ,1980 2Q ,1980 1Q 
Personal Disposable Income (Million Dollars),66841.1,72539.4,69320.7,62810.5,62108.4,67147.5,66777.1,61348.4,63459.2,67158.3,67172,62078.3,60174.8,66622.5,65689.8,59277.8,57613.2,63747.9,62239.1,56215.4,54668.3,60631,59285.6,54341.6,52793.8,58783.7,57275.5,52185.6,50930.7,56754.9,54767.4,49776.7,47943.4,52921.6,51359.7,46072.7,44880.1,49763.2,48353.8,43373,42247.1,45755.8,43745.3,38914,39988,42108.6,41120.2,36778.5,35362.3,38327.5,36480.6,32915.1,32854,36710.6,35335.7,33657.1,32055.9,35050,34770.4,30689.2,30460.5,31759.5,31654.1,27422.7,28501.3,28886.7,28914.6,25266.2,24118.2,26447.8,26642.1,22782.4,21865,23658.3,23593.5,21226.6,20725.4,22706.7,23879.2,21446.2,20469,22039.5,23586.4,20924.2,20143,23152.1,24085,20395.2,19233.4,20868.9,21362.5,18125,17604.8,18611.8,20618.9,18648.5,18591.5,19894.8,21520.2,18490.9,17696.1,18391.4,19716.3,16880.7,16258.3,17045.6,18378.1,15582.8,14764.2,15357.2,16578.6,13830.3,13040.5,13616.5,14562,12096.3,11530.1,11924.9,13000.9,10961.8,10509.8,11200.1,12412.4,10521.4,10067.8,10497.8,11216.4,9521.4,8812.5,9046.7,9858,8042.9,7428.4,7574.8,8450.1,6589.3,6273,6667.4,6993.7,5894.9,5885.3,6072.3,6629.8,5693.9,5474.6,6283.8,6891.7,6160.3,5919.3,6377.6,7071.2,6342,5868.2,6256.2,6349.8,5677.5,5318.4,5772.1,5941.9,4939.5,4642.9,4858.6,5055,4267.9,3953.7,4229.6,4269,3659.8,3432.6,3635
Personal Saving (Million Dollars),20047.9,27648.2,26577.2,22009,21939.7,25678.6,25966.2,22972.6,31578.6,22829.4,20680.7,17347.2,15021.7,20988,19902.4,16306.3,14022.7,20999,18161.1,15343.1,13503.1,19872.5,17940.4,15373.5,13054.3,18239.5,16376,13987.9,11633.6,17805.4,15836.1,13114.9,10466.3,16049.6,14494.2,10746.1,8886.3,14263.6,12559.9,9377.5,8180.3,12038.3,9830.5,7190,7948.6,11131.3,9830.4,7534,6085.1,9321.5,7738.1,5189.3,5768.7,9839.7,7392.3,6272.4,4744.2,8247.6,8080,5673.1,5740.7,7925.9,8064.4,5225.9,6339.9,6843.7,6992.8,4409.8,3190.8,5387.8,5821,2574,1592.5,3301.5,3378.2,1747.9,2284.5,3377.8,4584.4,2398.4,1353.8,2973.8,5303.5,2439.2,1395.8,4265.7,6199,2897.8,2155,4004.9,5326.3,2761.7,2547.7,3789.1,6682.6,4845.4,4485.2,5136.2,6394.5,3327.7,3363.7,3873.8,5393.3,3215,2861.1,3548.1,5065.3,2950.4,2329.1,2870.9,3941.1,1805.8,1528.7,1427,3188.1,1462,1209.7,1536.7,3325.3,1770.5,1553,2228.7,3463.3,2040.7,1852.3,2179.8,2895.6,1801.6,1133.9,1340.5,2287,1001.5,571.9,948,1551.2,340.3,282.2,980.3,1197.6,337.4,613.9,1229.8,1612.7,818.1,800.3,1802.8,2218.8,1665.8,1390.6,1786.7,2272.8,1877.9,1426.6,1792.2,2058.3,1457.2,1130.6,1833.6,1845.3,1045.7,824.1,1123.3,1220.1,549.2,395.6,795.6,755,358,180,639.6
Personal Saving Rate (Per Cent),30,38.1,38.3,35,35.3,38.2,38.9,37.4,49.8,34,30.8,27.9,25,31.5,30.3,27.5,24.3,32.9,29.2,27.3,24.7,32.8,30.3,28.3,24.7,31,28.6,26.8,22.8,31.4,28.9,26.3,21.8,30.3,28.2,23.3,19.8,28.7,26,21.6,19.4,26.3,22.5,18.5,19.9,26.4,23.9,20.5,17.2,24.3,21.2,15.8,17.6,26.8,20.9,18.6,14.8,23.5,23.2,18.5,18.8,25,25.5,19.1,22.2,23.7,24.2,17.5,13.2,20.4,21.8,11.3,7.3,14,14.3,8.2,11,14.9,19.2,11.2,6.6,13.5,22.5,11.7,6.9,18.4,25.7,14.2,11.2,19.2,24.9,15.2,14.5,20.4,32.4,26,24.1,25.8,29.7,18,19,21.1,27.4,19,17.6,20.8,27.6,18.9,15.8,18.7,23.8,13.1,11.7,10.5,21.9,12.1,10.5,12.9,25.6,16.2,14.8,19.9,27.9,19.4,18.4,20.8,25.8,18.9,12.9,14.8,23.2,12.5,7.7,12.5,18.4,5.2,4.5,14.7,17.1,5.7,10.4,20.3,24.3,14.4,14.6,28.7,32.2,27,23.5,28,32.1,29.6,24.3,28.6,32.4,25.7,21.3,31.8,31.1,21.2,17.7,23.1,24.1,12.9,10,18.8,17.7,9.8,5.2,17.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Disposable Income:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Personal disposable income measures the income of the personal sector (e.g., compensation of employees, self-employment income, gross operating surplus on ownership of dwellings and non-profit institutions serving households), after accounting for net property income received (i.e., interests and dividends), net current transfers received and personal income tax paid. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Saving:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Personal saving refers to the amount of funds available after consumption and before the purchase of assets. Personal saving is not directly computed, but derived as the difference between personal disposable income and personal consumption expenditure on goods and services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
