Data Series,GDP_year_on_year_growth_rate_current_price
1976 1Q,10.5
1976 2Q,9.5
1976 3Q,9.3
1976 4Q,8.1
1977 1Q,9.3
1977 2Q,9.5
1977 3Q,8.5
1977 4Q,8.8
1978 1Q,10.6
1978 2Q,10.4
1978 3Q,12.5
1978 4Q,14.7
1979 1Q,11.3
1979 2Q,15.6
1979 3Q,16.3
1979 4Q,17.5
1980 1Q,26.2
1980 2Q,23.4
1980 3Q,21.2
1980 4Q,19.5
1981 1Q,15.9
1981 2Q,16.8
1981 3Q,18.5
1981 4Q,17.8
1982 1Q,15.6
1982 2Q,12.3
1982 3Q,9.8
1982 4Q,10.5
1983 1Q,9.3
1983 2Q,13.8
1983 3Q,13.7
1983 4Q,11.1
1984 1Q,12.6
1984 2Q,9.6
1984 3Q,8.9
1984 4Q,7.8
1985 1Q,5.1
1985 2Q,-0.4
1985 3Q,-4.2
1985 4Q,-8.1
1986 1Q,-6.4
1986 2Q,-2.2
1986 3Q,0.7
1986 4Q,8.5
1987 1Q,6.7
1987 2Q,10.3
1987 3Q,14
1987 4Q,14.2
1988 1Q,16.1
1988 2Q,17
1988 3Q,17.7
1988 4Q,18.1
1989 1Q,15.2
1989 2Q,15.6
1989 3Q,14.4
1989 4Q,13.9
1990 1Q,19.5
1990 2Q,15
1990 3Q,13.6
1990 4Q,12.5
1991 1Q,11.1
1991 2Q,11.5
1991 3Q,12.4
1991 4Q,10.7
1992 1Q,7.8
1992 2Q,6.9
1992 3Q,7.6
1992 4Q,10.1
1993 1Q,13
1993 2Q,16
1993 3Q,15.3
1993 4Q,16.8
1994 1Q,16.6
1994 2Q,14
1994 3Q,16.3
1994 4Q,13.1
1995 1Q,10
1995 2Q,11.7
1995 3Q,10.4
1995 4Q,10.2
1996 1Q,13.3
1996 2Q,10.2
1996 3Q,5.7
1996 4Q,7.7
1997 1Q,6.2
1997 2Q,11
1997 3Q,12.8
1997 4Q,8
1998 1Q,3.5
1998 2Q,-2.7
1998 3Q,-6.2
1998 4Q,-7.8
1999 1Q,-5.8
1999 2Q,1
1999 3Q,4.4
1999 4Q,8.2
2000 1Q,12.8
2000 2Q,10.6
2000 3Q,14.6
2000 4Q,14.7
2001 1Q,8.3
2001 2Q,0.3
2001 3Q,-8.2
2001 4Q,-10.3
2002 1Q,-2.2
2002 2Q,2.8
2002 3Q,5.1
2002 4Q,6.4
2003 1Q,3.9
2003 2Q,-2.9
2003 3Q,2.8
2003 4Q,6.8
2004 1Q,10.7
2004 2Q,16.5
2004 3Q,15.6
2004 4Q,14.5
2005 1Q,8.3
2005 2Q,9.5
2005 3Q,9.1
2005 4Q,10.5
2006 1Q,10.5
2006 2Q,11.9
2006 3Q,11.2
2006 4Q,10.6
2007 1Q,13.9
2007 2Q,16.9
2007 3Q,17.3
2007 4Q,13.9
2008 1Q,8.1
2008 2Q,2.2
2008 3Q,0.1
2008 4Q,-7.6
2009 1Q,-5.7
2009 2Q,-0.2
2009 3Q,3.7
2009 4Q,14.9
2010 1Q,20.2
2010 2Q,18.8
2010 3Q,12.6
2010 4Q,12.4
2011 1Q,11.1
2011 2Q,6.3
2011 3Q,7.7
2011 4Q,5
2012 1Q,5.4
2012 2Q,7.3
2012 3Q,2.3
2012 4Q,4.9
2013 1Q,3
2013 2Q,3.2
2013 3Q,6.4
2013 4Q,4.8
2014 1Q,3.5
2014 2Q,2.9
2014 3Q,3.7
2014 4Q,4.5
2015 1Q,6.3
2015 2Q,6.2
2015 3Q,6.7
2015 4Q,5.4
2016 1Q,2.9
2016 2Q,2.9
2016 3Q,3.4
2016 4Q,6.8
2017 1Q,8.7
2017 2Q,6.4
2017 3Q,6.9
2017 4Q,8.4
2018 1Q,5.2
2018 2Q,8.7
2018 3Q,9.9
2018 4Q,5.5
2019 1Q,3.8
2019 2Q,1.5
2019 3Q,-0.2
2019 4Q,-1.9
2020 1Q,-0.3
2020 2Q,-15
2020 3Q,-8.5
2020 4Q,-4.4
2021 1Q,2.5
2021 2Q,23.1
2021 3Q,13.5
2021 4Q,10.4
2022 1Q,10.4
2022 2Q,10.6
