Data Series,Prime Lending Rate
1983-01,9.53
1983-02,9.25
1983-03,9.1
1983-04,9.03
1983-05,9.03
1983-06,8.88
1983-07,9.0
1983-08,9.0
1983-09,8.95
1983-10,8.93
1983-11,8.93
1983-12,8.98
1984-01,9.05
1984-02,9.0
1984-03,9.2
1984-04,9.63
1984-05,9.98
1984-06,10.08
1984-07,10.1
1984-08,10.1
1984-09,10.33
1984-10,10.08
1984-11,9.68
1984-12,9.4
1985-01,9.08
1985-02,9.03
1985-03,9.03
1985-04,8.73
1985-05,8.48
1985-06,8.28
1985-07,8.03
1985-08,7.28
1985-09,7.2
1985-10,7.23
1985-11,7.2
1985-12,7.2
1986-01,7.2
1986-02,7.2
1986-03,7.18
1986-04,7.15
1986-05,7.15
1986-06,7.15
1986-07,7.05
1986-08,6.83
1986-09,6.45
1986-10,6.28
1986-11,6.1
1986-12,6.1
1987-01,6.1
1987-02,6.1
1987-03,6.1
1987-04,6.1
1987-05,6.1
1987-06,6.1
1987-07,6.1
1987-08,6.1
1987-09,6.1
1987-10,6.1
1987-11,6.1
1987-12,6.1
1988-01,5.98
1988-02,5.93
1988-03,5.85
1988-04,5.85
1988-05,5.85
1988-06,5.85
1988-07,5.85
1988-08,6.05
1988-09,6.05
1988-10,6.05
1988-11,6.13
1988-12,6.13
1989-01,6.13
1989-02,6.15
1989-03,6.18
1989-04,6.2
1989-05,6.23
1989-06,6.23
1989-07,6.23
1989-08,6.23
1989-09,6.23
1989-10,6.23
1989-11,6.25
1989-12,6.25
1990-01,6.28
1990-02,6.6
1990-03,6.65
1990-04,7.03
1990-05,7.23
1990-06,7.6
1990-07,7.65
1990-08,7.9
1990-09,7.9
1990-10,7.9
1990-11,7.88
1990-12,7.73
1991-01,7.45
1991-02,7.43
1991-03,7.43
1991-04,7.43
1991-05,7.43
1991-06,7.71
1991-07,7.91
1991-08,7.91
1991-09,7.85
1991-10,7.7
1991-11,7.65
1991-12,7.1
1992-01,6.55
1992-02,6.18
1992-03,6.18
1992-04,6.18
1992-05,6.18
1992-06,6.13
1992-07,5.89
1992-08,5.86
1992-09,5.63
1992-10,5.55
1992-11,5.55
1992-12,5.55
1993-01,5.55
1993-02,5.55
1993-03,5.38
1993-04,5.36
1993-05,5.36
1993-06,5.36
1993-07,5.36
1993-08,5.36
1993-09,5.36
1993-10,5.34
1993-11,5.34
1993-12,5.34
1994-01,5.5
1994-02,5.59
1994-03,5.59
1994-04,5.66
1994-05,5.73
1994-06,5.73
1994-07,5.73
1994-08,6.01
1994-09,6.01
1994-10,6.01
1994-11,6.49
1994-12,6.49
1995-01,6.49
1995-02,6.49
1995-03,6.49
1995-04,6.49
1995-05,6.49
1995-06,6.34
1995-07,6.34
1995-08,6.26
1995-09,6.26
1995-10,6.26
1995-11,6.26
1995-12,6.26
1996-01,6.26
1996-02,6.26
1996-03,6.26
1996-04,6.26
1996-05,6.26
1996-06,6.26
1996-07,6.26
1996-08,6.26
1996-09,6.26
1996-10,6.26
1996-11,6.26
1996-12,6.26
1997-01,6.26
1997-02,6.26
1997-03,6.26
1997-04,6.26
1997-05,6.26
1997-06,6.26
1997-07,6.26
1997-08,6.26
1997-09,6.26
1997-10,6.26
1997-11,6.31
1997-12,6.96
1998-01,7.79
1998-02,7.79
1998-03,7.74
1998-04,7.74
1998-05,7.79
1998-06,7.79
1998-07,7.79
1998-08,7.79
1998-09,7.54
1998-10,7.31
1998-11,6.33
1998-12,5.9
1999-01,5.8
1999-02,5.8
1999-03,5.8
1999-04,5.8
1999-05,5.8
1999-06,5.8
1999-07,5.8
1999-08,5.8
1999-09,5.8
1999-10,5.8
1999-11,5.8
1999-12,5.8
2000-01,5.8
2000-02,5.85
2000-03,5.85
2000-04,5.85
2000-05,5.85
2000-06,5.85
2000-07,5.85
2000-08,5.85
2000-09,5.85
2000-10,5.8
2000-11,5.8
2000-12,5.8
2001-01,5.8
2001-02,5.8
2001-03,5.8
2001-04,5.8
2001-05,5.8
2001-06,5.8
2001-07,5.8
2001-08,5.8
2001-09,5.48
2001-10,5.3
2001-11,5.3
2001-12,5.3
2002-01,5.3
2002-02,5.35
2002-03,5.35
2002-04,5.35
2002-05,5.35
2002-06,5.35
2002-07,5.35
2002-08,5.35
2002-09,5.35
2002-10,5.35
2002-11,5.35
2002-12,5.35
2003-01,5.35
2003-02,5.33
2003-03,5.3
2003-04,5.3
2003-05,5.3
2003-06,5.3
2003-07,5.3
2003-08,5.3
2003-09,5.3
2003-10,5.3
2003-11,5.3
2003-12,5.3
2004-01,5.3
2004-02,5.3
2004-03,5.3
2004-04,5.3
2004-05,5.3
2004-06,5.3
2004-07,5.3
2004-08,5.3
2004-09,5.3
2004-10,5.3
2004-11,5.3
2004-12,5.3
2005-01,5.3
2005-02,5.3
2005-03,5.3
2005-04,5.3
2005-05,5.3
2005-06,5.3
2005-07,5.3
2005-08,5.3
2005-09,5.3
2005-10,5.3
2005-11,5.3
2005-12,5.3
2006-01,5.3
2006-02,5.3
2006-03,5.3
2006-04,5.3
2006-05,5.3
2006-06,5.3
2006-07,5.3
2006-08,5.33
2006-09,5.33
2006-10,5.33
2006-11,5.33
2006-12,5.33
2007-01,5.33
2007-02,5.33
2007-03,5.33
2007-04,5.33
2007-05,5.33
2007-06,5.33
2007-07,5.33
2007-08,5.33
2007-09,5.33
2007-10,5.33
2007-11,5.33
2007-12,5.33
2008-01,5.38
2008-02,5.38
2008-03,5.38
2008-04,5.38
2008-05,5.38
2008-06,5.38
2008-07,5.38
2008-08,5.38
2008-09,5.38
2008-10,5.38
2008-11,5.38
2008-12,5.38
2009-01,5.38
2009-02,5.38
2009-03,5.38
2009-04,5.38
2009-05,5.38
2009-06,5.38
2009-07,5.38
2009-08,5.38
2009-09,5.38
2009-10,5.38
2009-11,5.38
2009-12,5.38
2010-01,5.38
2010-02,5.38
2010-03,5.38
2010-04,5.38
2010-05,5.38
2010-06,5.38
2010-07,5.38
2010-08,5.38
2010-09,5.38
2010-10,5.38
2010-11,5.38
2010-12,5.38
2011-01,5.38
2011-02,5.38
2011-03,5.38
2011-04,5.38
2011-05,5.38
2011-06,5.38
2011-07,5.38
2011-08,5.38
2011-09,5.38
2011-10,5.38
2011-11,5.38
2011-12,5.38
2012-01,5.38
2012-02,5.38
2012-03,5.38
2012-04,5.38
2012-05,5.38
2012-06,5.38
2012-07,5.38
2012-08,5.38
2012-09,5.38
2012-10,5.38
2012-11,5.38
2012-12,5.38
2013-01,5.38
2013-02,5.38
2013-03,5.38
