Data Series,housing_and_development_board_resale_price_index
1990 1Q,24.3
1990 2Q,24.4
1990 3Q,25
1990 4Q,24.7
1991 1Q,24.9
1991 2Q,25.5
1991 3Q,25.2
1991 4Q,25.1
1992 1Q,25.8
1992 2Q,27.4
1992 3Q,28
1992 4Q,28.6
1993 1Q,30.2
1993 2Q,39.6
1993 3Q,47.7
1993 4Q,49
1994 1Q,50.4
1994 2Q,51.7
1994 3Q,54.6
1994 4Q,54.8
1995 1Q,57.3
1995 2Q,63.9
1995 3Q,67.7
1995 4Q,73.7
1996 1Q,80.5
1996 2Q,90.9
1996 3Q,96.4
1996 4Q,99
1997 1Q,98.6
1997 2Q,97.5
1997 3Q,93.6
1997 4Q,88
1998 1Q,81.7
1998 2Q,78.3
1998 3Q,74.9
1998 4Q,72.3
1999 1Q,71.2
1999 2Q,72.2
1999 3Q,78.1
1999 4Q,79.8
2000 1Q,80.3
2000 2Q,79.3
2000 3Q,77.6
2000 4Q,75.8
2001 1Q,73.2
2001 2Q,72.1
2001 3Q,70.6
2001 4Q,69.6
2002 1Q,69.1
2002 2Q,69.2
2002 3Q,69.9
2002 4Q,69.9
2003 1Q,71
2003 2Q,72.5
2003 3Q,74.3
2003 4Q,75.1
2004 1Q,75.3
2004 2Q,76.2
2004 3Q,76.3
2004 4Q,77.1
2005 1Q,77.2
2005 2Q,73.5
2005 3Q,73.2
2005 4Q,73.5
2006 1Q,73.6
2006 2Q,74.3
2006 3Q,74.2
2006 4Q,74.9
2007 1Q,75.8
2007 2Q,78.1
2007 3Q,83.2
2007 4Q,88
2008 1Q,91.3
2008 2Q,95.4
2008 3Q,99.4
2008 4Q,100.8
2009 1Q,100
2009 2Q,101.4
2009 3Q,105
2009 4Q,109
2010 1Q,112.1
2010 2Q,116.6
2010 3Q,121.3
2010 4Q,124.4
2011 1Q,126.4
2011 2Q,130.4
2011 3Q,135.4
2011 4Q,137.7
2012 1Q,138.5
2012 2Q,140.3
2012 3Q,143.1
2012 4Q,146.7
2013 1Q,148.6
2013 2Q,149.4
2013 3Q,148.1
2013 4Q,145.8
2014 1Q,143.5
2014 2Q,141.5
2014 3Q,139.1
2014 4Q,137
2015 1Q,135.6
2015 2Q,135
2015 3Q,134.6
2015 4Q,134.8
2016 1Q,134.7
2016 2Q,134.7
2016 3Q,134.7
2016 4Q,134.6
2017 1Q,133.9
2017 2Q,133.7
2017 3Q,132.8
2017 4Q,132.6
2018 1Q,131.6
2018 2Q,131.7
2018 3Q,131.6
2018 4Q,131.4
2019 1Q,131
2019 2Q,130.8
2019 3Q,130.9
2019 4Q,131.5
2020 1Q,131.5
2020 2Q,131.9
2020 3Q,133.9
2020 4Q,138.1
2021 1Q,142.2
2021 2Q,146.4
2021 3Q,150.6
2021 4Q,155.7
2022 1Q,159.5
2022 2Q,163.9
