Data Series,household_net_worth
1995 1Q,423765.3
1995 2Q,446338.4
1995 3Q,459654
1995 4Q,484401.4
1996 1Q,510411.3
1996 2Q,543731.1
1996 3Q,546888.4
1996 4Q,551652.7
1997 1Q,549071.8
1997 2Q,548763.2
1997 3Q,543014.7
1997 4Q,523461.6
1998 1Q,505544.6
1998 2Q,484537.6
1998 3Q,472055.6
1998 4Q,464385.5
1999 1Q,475996.7
1999 2Q,506047
1999 3Q,537905.2
1999 4Q,558280.4
2000 1Q,567097.1
2000 2Q,565988.3
2000 3Q,564910.3
2000 4Q,557202.5
2001 1Q,550640.9
2001 2Q,548851.9
2001 3Q,543005.3
2001 4Q,541403.7
2002 1Q,545311.6
2002 2Q,542420.7
2002 3Q,555078.4
2002 4Q,557599.4
2003 1Q,563746.1
2003 2Q,581129
2003 3Q,596492.7
2003 4Q,606525.3
2004 1Q,621222.6
2004 2Q,634003.8
2004 3Q,645237.7
2004 4Q,660501.7
2005 1Q,668128.5
2005 2Q,669494.9
2005 3Q,687033.4
2005 4Q,697405.3
2006 1Q,717170.7
2006 2Q,726811.6
2006 3Q,745092.1
2006 4Q,769610.2
2007 1Q,803806.1
2007 2Q,854024.2
2007 3Q,889085.7
2007 4Q,914074.4
2008 1Q,930602.5
2008 2Q,938489.9
2008 3Q,927667
2008 4Q,912107.5
2009 1Q,892148.5
2009 2Q,921907.3
2009 3Q,988166.7
2009 4Q,1031439.9
2010 1Q,1074487.5
2010 2Q,1109150
2010 3Q,1153577.9
2010 4Q,1185892.1
2011 1Q,1211997.5
2011 2Q,1236275.5
2011 3Q,1249706.6
2011 4Q,1265579.7
2012 1Q,1301337.8
2012 2Q,1310096.1
2012 3Q,1337137.3
2012 4Q,1368617.9
2013 1Q,1400859.1
2013 2Q,1410304.2
2013 3Q,1426052.6
2013 4Q,1425245.3
2014 1Q,1435787.4
2014 2Q,1453350.5
2014 3Q,1456005.8
2014 4Q,1463054.3
2015 1Q,1490599.3
2015 2Q,1498855.2
2015 3Q,1499342.8
2015 4Q,1518715.9
2016 1Q,1550793.8
2016 2Q,1570726.1
2016 3Q,1596123.6
2016 4Q,1621282.5
2017 1Q,1657535.9
2017 2Q,1681089.8
2017 3Q,1703850.2
2017 4Q,1733335.4
2018 1Q,1768886.8
2018 2Q,1805178.1
2018 3Q,1824716.5
2018 4Q,1824530.4
2019 1Q,1868886.3
2019 2Q,1910545.5
2019 3Q,1947578.4
2019 4Q,1993205.5
2020 1Q,1982068.7
2020 2Q,2051856.9
2020 3Q,2093235.8
2020 4Q,2164218.6
2021 1Q,2231417.1
2021 2Q,2282483.3
2021 3Q,2317522.3
2021 4Q,2385997.9
2022 1Q,2426163.5
