Data Series,GDP_year_on_year_growth_rate_in_chain_2015
1976 1Q,8.2
1976 2Q,7.4
1976 3Q,7.2
1976 4Q,7
1977 1Q,6.2
1977 2Q,7.6
1977 3Q,6.4
1977 4Q,7.2
1978 1Q,5.6
1978 2Q,6.2
1978 3Q,8.8
1978 4Q,10.2
1979 1Q,9.5
1979 2Q,10.7
1979 3Q,8.2
1979 4Q,9.9
1980 1Q,11.5
1980 2Q,10.3
1980 3Q,10.3
1980 4Q,8.5
1981 1Q,10.3
1981 2Q,11.5
1981 3Q,11.2
1981 4Q,10.4
1982 1Q,9.1
1982 2Q,7.4
1982 3Q,6.4
1982 4Q,5.7
1983 1Q,7.6
1983 2Q,8
1983 3Q,8.6
1983 4Q,10
1984 1Q,10.9
1984 2Q,9.8
1984 3Q,8.8
1984 4Q,5.9
1985 1Q,3.9
1985 2Q,-0.1
1985 3Q,-2.3
1985 4Q,-3.8
1986 1Q,-4
1986 2Q,0.1
1986 3Q,2.9
1986 4Q,6.5
1987 1Q,8.1
1987 2Q,10.2
1987 3Q,12.3
1987 4Q,12.5
1988 1Q,11.1
1988 2Q,12
1988 3Q,11.2
1988 4Q,10.7
1989 1Q,9.9
1989 2Q,11.4
1989 3Q,9.9
1989 4Q,9.5
1990 1Q,14
1990 2Q,8.8
1990 3Q,8.8
1990 4Q,8.1
1991 1Q,6.4
1991 2Q,6.5
1991 3Q,7.3
1991 4Q,6.5
1992 1Q,5.7
1992 2Q,5.4
1992 3Q,6.7
1992 4Q,8.7
1993 1Q,9
1993 2Q,12.3
1993 3Q,11.5
1993 4Q,12.9
1994 1Q,13.5
1994 2Q,10.3
1994 3Q,11.8
1994 4Q,9
1995 1Q,5.3
1995 2Q,7.4
1995 3Q,8.2
1995 4Q,7.7
1996 1Q,11.7
1996 2Q,8.6
1996 3Q,4.2
1996 4Q,5.8
1997 1Q,5.7
1997 2Q,9.5
1997 3Q,10.9
1997 4Q,7.1
1998 1Q,1.5
1998 2Q,-2.4
1998 3Q,-5
1998 4Q,-2.6
1999 1Q,2.2
1999 2Q,5.4
1999 3Q,8
1999 4Q,7.1
2000 1Q,9
2000 2Q,8.2
2000 3Q,9.5
2000 4Q,9.4
2001 1Q,5.4
2001 2Q,0.5
2001 3Q,-4.9
2001 4Q,-4.7
2002 1Q,-1.1
2002 2Q,4.2
2002 3Q,6.6
2002 4Q,6.1
2003 1Q,4.2
2003 2Q,-0.3
2003 3Q,5.3
2003 4Q,8.9
2004 1Q,10.3
2004 2Q,13.5
2004 3Q,8.4
2004 4Q,7.8
2005 1Q,5.4
2005 2Q,6.2
2005 3Q,8.5
2005 4Q,9.2
2006 1Q,10.2
2006 2Q,8.8
2006 3Q,8.6
2006 4Q,8.5
2007 1Q,8.6
2007 2Q,10
2007 3Q,11
2007 4Q,6.6
2008 1Q,8.2
2008 2Q,3.3
2008 3Q,-0.1
2008 4Q,-3.4
2009 1Q,-7.7
2009 2Q,-1.2
2009 3Q,2.8
2009 4Q,6.8
2010 1Q,16.3
2010 2Q,18.6
2010 3Q,10.3
2010 4Q,13.3
2011 1Q,9.2
2011 2Q,2.9
2011 3Q,7.8
2011 4Q,5.3
2012 1Q,4.8
2012 2Q,6.2
2012 3Q,2
2012 4Q,4.7
2013 1Q,3.4
2013 2Q,4.6
2013 3Q,6.1
2013 4Q,5.1
2014 1Q,4.3
2014 2Q,3.3
2014 3Q,3.7
2014 4Q,4.5
2015 1Q,3
2015 2Q,3.1
2015 3Q,3.7
2015 4Q,2.2
2016 1Q,3.3
2016 2Q,3
2016 3Q,3.1
2016 4Q,4.8
2017 1Q,4.7
2017 2Q,3.8
2017 3Q,5.5
2017 4Q,4.7
2018 1Q,5
2018 2Q,5.1
2018 3Q,3.2
2018 4Q,1.5
2019 1Q,1.3
2019 2Q,1
2019 3Q,0.7
2019 4Q,1.3
2020 1Q,1.2
2020 2Q,-12.2
2020 3Q,-4.6
2020 4Q,-0.9
2021 1Q,2
2021 2Q,15.8
2021 3Q,7.5
2021 4Q,6.1
2022 1Q,3.8
2022 2Q,4.4
